id,domain,raw_command,tokens,annotator_boundary_labels,annotator_task_token_labels,notes
CK-1507,tarayıcı_internet,tarayıcıda bağlantıyı yapıştr entıra bas çerez uyarısını kapat,"[""tarayıcıda"", ""bağlantıyı"", ""yapıştr"", ""entıra"", ""bas"", ""çerez"", ""uyarısını"", ""kapat""]","[""O"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""O"",""YAPIŞTIR"",""YAPIŞTIR"",""ENTER"",""ENTER"",""KAPAT"",""KAPAT"",""KAPAT""]",
CK-1376,tarayıcı_internet,web formunu aç ad alanını seç ad yaz sonraki alana geç,"[""web"", ""formunu"", ""aç"", ""ad"", ""alanını"", ""seç"", ""ad"", ""yaz"", ""sonraki"", ""alana"", ""geç""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""SEÇ"",""SEÇ"",""SEÇ"",""YAZ"",""YAZ"",""GEÇ"",""GEÇ"",""GEÇ""]",
CK-3431,tarayıcı_internet,dosyayı hemen indir,"[""dosyayı"", ""hemen"", ""indir""]","[""B-TASK"",""I-TASK"",""I-TASK""]","[""İNDİR"",""İNDİR"",""İNDİR""]",
CK-2342,tarayıcı_internet,video alanına tıkla altyazı düğmesini aç oynatma hızını azalt,"[""video"", ""alanına"", ""tıkla"", ""altyazı"", ""düğmesini"", ""aç"", ""oynatma"", ""hızını"", ""azalt""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""TIKLA"",""TIKLA"",""TIKLA"",""AÇ"",""AÇ"",""AÇ"",""AZALT"",""AZALT"",""AZALT""]",
CK-1326,tarayıcı_internet,web sayfasını aç aşağı in tabloyu bul satırı kopyala,"[""web"", ""sayfasını"", ""aç"", ""aşağı"", ""in"", ""tabloyu"", ""bul"", ""satırı"", ""kopyala""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""KAYDIR"",""KAYDIR"",""BUL"",""BUL"",""KOPYALA"",""KOPYALA""]",
CK-1503,ofis_metin_düzenleme,eksıl dosyasını aç f dokuz hücresini seç değer yaz entera bas,"[""eksıl"", ""dosyasını"", ""aç"", ""f"", ""dokuz"", ""hücresini"", ""seç"", ""değer"", ""yaz"", ""entera"", ""bas""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""SEÇ"",""SEÇ"",""SEÇ"",""SEÇ"",""YAZ"",""YAZ"",""ENTER"",""ENTER""]",
CK-3026,dosya_yazılım_geliştirme,kod satırını kesebilir miyiz ama dosyayı silmeyelim,"[""kod"", ""satırını"", ""kesebilir"", ""miyiz"", ""ama"", ""dosyayı"", ""silmeyelim""]","[""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""O"",""O"",""O""]","[""KES"",""KES"",""KES"",""KES"",""O"",""O"",""O""]",
CK-2595,dosya_yazılım_geliştirme,dosya aramasını aç helper yaz çıkan sonucu sağ tarafta aç,"[""dosya"", ""aramasını"", ""aç"", ""helper"", ""yaz"", ""çıkan"", ""sonucu"", ""sağ"", ""tarafta"", ""aç""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""YAZ"",""YAZ"",""AÇ"",""AÇ"",""AÇ"",""AÇ"",""AÇ""]",
CK-3523,temel_bilgisayar,erişim panelini aç yüksek kontrast ayarını bul onu etkinleştir,"[""erişim"", ""panelini"", ""aç"", ""yüksek"", ""kontrast"", ""ayarını"", ""bul"", ""onu"", ""etkinleştir""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""BUL"",""BUL"",""BUL"",""BUL"",""TIKLA"",""TIKLA""]",
CK-1429,temel_bilgisayar,programı kaldırma dur programı seç güncelle düğmesine tıkla,"[""programı"", ""kaldırma"", ""dur"", ""programı"", ""seç"", ""güncelle"", ""düğmesine"", ""tıkla""]","[""O"",""O"",""O"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""O"",""O"",""O"",""SEÇ"",""SEÇ"",""TIKLA"",""TIKLA"",""TIKLA""]",
CK-1713,dosya_yazılım_geliştirme,temrinal çıktısında warning ara satırı koypala,"[""temrinal"", ""çıktısında"", ""warning"", ""ara"", ""satırı"", ""koypala""]","[""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""ARA"",""ARA"",""ARA"",""ARA"",""KOPYALA"",""KOPYALA""]",
CK-3453,ofis_metin_düzenleme,belgeyi yazdır lütfen,"[""belgeyi"", ""yazdır"", ""lütfen""]","[""B-TASK"",""I-TASK"",""O""]","[""YAZDIR"",""YAZDIR"",""O""]",
CK-2087,dosya_yazılım_geliştirme,git panelini aç commit mesajı yaz commit gönder,"[""git"", ""panelini"", ""aç"", ""commit"", ""mesajı"", ""yaz"", ""commit"", ""gönder""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""YAZ"",""YAZ"",""YAZ"",""GÖNDER"",""GÖNDER""]",
CK-3750,temel_bilgisayar,şu açık listeyi aşağı indir en sondaki öğeyi göster,"[""şu"", ""açık"", ""listeyi"", ""aşağı"", ""indir"", ""en"", ""sondaki"", ""öğeyi"", ""göster""]","[""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK""]","[""KAYDIR"",""KAYDIR"",""KAYDIR"",""KAYDIR"",""KAYDIR"",""DİĞER"",""DİĞER"",""DİĞER"",""DİĞER""]",
CK-1714,ofis_metin_düzenleme,pavırpoyntta alt bilgi alanını seç tarihi yaz kaydetti,"[""pavırpoyntta"", ""alt"", ""bilgi"", ""alanını"", ""seç"", ""tarihi"", ""yaz"", ""kaydetti""]","[""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK""]","[""SEÇ"",""SEÇ"",""SEÇ"",""SEÇ"",""SEÇ"",""YAZ"",""YAZ"",""KAYDET""]",
CK-3595,dosya_yazılım_geliştirme,branch değiştirme sadece değişiklikleri kaydet,"[""branch"", ""değiştirme"", ""sadece"", ""değişiklikleri"", ""kaydet""]","[""O"",""O"",""O"",""B-TASK"",""I-TASK""]","[""O"",""O"",""O"",""KAYDET"",""KAYDET""]",
CK-2161,ofis_metin_düzenleme,belgede öğrenci adını bul soyadını seç kes yeni satıra yapıştır,"[""belgede"", ""öğrenci"", ""adını"", ""bul"", ""soyadını"", ""seç"", ""kes"", ""yeni"", ""satıra"", ""yapıştır""]","[""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""BUL"",""BUL"",""BUL"",""BUL"",""SEÇ"",""SEÇ"",""KES"",""YAPIŞTIR"",""YAPIŞTIR"",""YAPIŞTIR""]",
CK-3829,ofis_metin_düzenleme,paragrafı seçmeden önce imleci giriş kısmına götür,"[""paragrafı"", ""seçmeden"", ""önce"", ""imleci"", ""giriş"", ""kısmına"", ""götür""]","[""O"",""O"",""O"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK""]","[""O"",""O"",""O"",""GİT"",""GİT"",""GİT"",""GİT""]",
CK-2209,temel_bilgisayar,görev çubuğundaki ses simgesini aç mikrofon girişini seç seviyeyi azalt,"[""görev"", ""çubuğundaki"", ""ses"", ""simgesini"", ""aç"", ""mikrofon"", ""girişini"", ""seç"", ""seviyeyi"", ""azalt""]","[""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""AÇ"",""AÇ"",""SEÇ"",""SEÇ"",""SEÇ"",""AZALT"",""AZALT""]",
CK-2607,temel_bilgisayar,ya alttaki ses simgesine tıklar mısın uygulama sesini biraz artır,"[""ya"", ""alttaki"", ""ses"", ""simgesine"", ""tıklar"", ""mısın"", ""uygulama"", ""sesini"", ""biraz"", ""artır""]","[""O"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK""]","[""O"",""TIKLA"",""TIKLA"",""TIKLA"",""TIKLA"",""TIKLA"",""ARTIR"",""ARTIR"",""ARTIR"",""ARTIR""]",
CK-1596,tarayıcı_internet,indirilenler panelini aç ardından son dosyayı seç ve dosya yolunu kopyala,"[""indirilenler"", ""panelini"", ""aç"", ""ardından"", ""son"", ""dosyayı"", ""seç"", ""ve"", ""dosya"", ""yolunu"", ""kopyala""]","[""B-TASK"",""I-TASK"",""I-TASK"",""O"",""B-TASK"",""I-TASK"",""I-TASK"",""O"",""B-TASK"",""I-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""O"",""SEÇ"",""SEÇ"",""SEÇ"",""O"",""KOPYALA"",""KOPYALA"",""KOPYALA""]",
CK-3494,dosya_yazılım_geliştirme,paket indirme dosyayı yükle logu yazdır terminali kapat,"[""paket"", ""indirme"", ""dosyayı"", ""yükle"", ""logu"", ""yazdır"", ""terminali"", ""kapat""]","[""O"",""O"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""O"",""O"",""YÜKLE"",""YÜKLE"",""YAZDIR"",""YAZDIR"",""KAPAT"",""KAPAT""]",
CK-2064,ofis_metin_düzenleme,formül hücresini seç formülü kopyala alt hücrelere yapıştır işlemi yinele,"[""formül"", ""hücresini"", ""seç"", ""formülü"", ""kopyala"", ""alt"", ""hücrelere"", ""yapıştır"", ""işlemi"", ""yinele""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""SEÇ"",""SEÇ"",""SEÇ"",""KOPYALA"",""KOPYALA"",""YAPIŞTIR"",""YAPIŞTIR"",""YAPIŞTIR"",""YİNELE"",""YİNELE""]",
CK-2090,dosya_yazılım_geliştirme,debug panelini aç izleme seviyesini artır log ayrıntısını azalt,"[""debug"", ""panelini"", ""aç"", ""izleme"", ""seviyesini"", ""artır"", ""log"", ""ayrıntısını"", ""azalt""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""ARTIR"",""ARTIR"",""ARTIR"",""AZALT"",""AZALT"",""AZALT""]",
CK-2405,temel_bilgisayar,sağ alttaki ses panelini aç mikrofonu seç seviyeyi biraz azalt,"[""sağ"", ""alttaki"", ""ses"", ""panelini"", ""aç"", ""mikrofonu"", ""seç"", ""seviyeyi"", ""biraz"", ""azalt""]","[""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""AÇ"",""AÇ"",""SEÇ"",""SEÇ"",""AZALT"",""AZALT"",""AZALT""]",
CK-2150,tarayıcı_internet,dosyayı indir hayır önizlemeyi aç sayfa görünümünü büyüt,"[""dosyayı"", ""indir"", ""hayır"", ""önizlemeyi"", ""aç"", ""sayfa"", ""görünümünü"", ""büyüt""]","[""B-TASK"",""I-TASK"",""O"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""İNDİR"",""İNDİR"",""O"",""AÇ"",""AÇ"",""BÜYÜT"",""BÜYÜT"",""BÜYÜT""]",
CK-2246,tarayıcı_internet,bu sekmeyi şimdilik kapat diğer açık sekmeye geç oradaki dosyayı indir,"[""bu"", ""sekmeyi"", ""şimdilik"", ""kapat"", ""diğer"", ""açık"", ""sekmeye"", ""geç"", ""oradaki"", ""dosyayı"", ""indir""]","[""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""KAPAT"",""KAPAT"",""KAPAT"",""KAPAT"",""SEKME_DEĞİŞTİR"",""SEKME_DEĞİŞTİR"",""SEKME_DEĞİŞTİR"",""SEKME_DEĞİŞTİR"",""İNDİR"",""İNDİR"",""İNDİR""]",
CK-2196,dosya_yazılım_geliştirme,kaynak klasörü aç eski raporu seç sil yeni raporu yapıştır,"[""kaynak"", ""klasörü"", ""aç"", ""eski"", ""raporu"", ""seç"", ""sil"", ""yeni"", ""raporu"", ""yapıştır""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""SEÇ"",""SEÇ"",""SEÇ"",""SİL"",""YAPIŞTIR"",""YAPIŞTIR"",""YAPIŞTIR""]",
CK-2575,ofis_metin_düzenleme,tablo başlığını seç rengini değiştir dosyayı kaydet yazdırma önizlemesini aç,"[""tablo"", ""başlığını"", ""seç"", ""rengini"", ""değiştir"", ""dosyayı"", ""kaydet"", ""yazdırma"", ""önizlemesini"", ""aç""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""SEÇ"",""SEÇ"",""SEÇ"",""DEĞİŞTİR"",""DEĞİŞTİR"",""KAYDET"",""KAYDET"",""AÇ"",""AÇ"",""AÇ""]",
CK-3828,ofis_metin_düzenleme,Excel'deki filtreyi temizle sonra tabloyu en üste kaydır,"[""Excel'deki"", ""filtreyi"", ""temizle"", ""sonra"", ""tabloyu"", ""en"", ""üste"", ""kaydır""]","[""B-TASK"",""I-TASK"",""I-TASK"",""O"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK""]","[""SİL"",""SİL"",""SİL"",""O"",""KAYDIR"",""KAYDIR"",""KAYDIR"",""KAYDIR""]",
CK-1586,temel_bilgisayar,bi şuradaki raporu bul lütfen aç hemen,"[""bi"", ""şuradaki"", ""raporu"", ""bul"", ""lütfen"", ""aç"", ""hemen""]","[""O"",""B-TASK"",""I-TASK"",""I-TASK"",""O"",""B-TASK"",""I-TASK""]","[""O"",""BUL"",""BUL"",""BUL"",""O"",""AÇ"",""AÇ""]",
CK-2687,dosya_yazılım_geliştirme,Docker dosyasını silme yok sadece expose satırını bul,"[""Docker"", ""dosyasını"", ""silme"", ""yok"", ""sadece"", ""expose"", ""satırını"", ""bul""]","[""O"",""O"",""O"",""O"",""O"",""B-TASK"",""I-TASK"",""I-TASK""]","[""O"",""O"",""O"",""O"",""O"",""BUL"",""BUL"",""BUL""]",
CK-1876,dosya_yazılım_geliştirme,komut satırına git checkout tire b accessibility fix yaz enter bas,"[""komut"", ""satırına"", ""git"", ""checkout"", ""tire"", ""b"", ""accessibility"", ""fix"", ""yaz"", ""enter"", ""bas""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""GİT"",""GİT"",""GİT"",""YAZ"",""YAZ"",""YAZ"",""YAZ"",""YAZ"",""YAZ"",""ENTER"",""ENTER""]",
CK-1915,ofis_metin_düzenleme,satırı kes vazgeç satırı seç satırı kopyala alta yapıştır,"[""satırı"", ""kes"", ""vazgeç"", ""satırı"", ""seç"", ""satırı"", ""kopyala"", ""alta"", ""yapıştır""]","[""O"",""O"",""O"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""O"",""O"",""O"",""SEÇ"",""SEÇ"",""KOPYALA"",""KOPYALA"",""YAPIŞTIR"",""YAPIŞTIR""]",
CK-2307,temel_bilgisayar,masaüstüne git arama kutusunu seç ekran okuyucu yaz enter,"[""masaüstüne"", ""git"", ""arama"", ""kutusunu"", ""seç"", ""ekran"", ""okuyucu"", ""yaz"", ""enter""]","[""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK""]","[""GİT"",""GİT"",""SEÇ"",""SEÇ"",""SEÇ"",""YAZ"",""YAZ"",""YAZ"",""ENTER""]",
CK-3261,ofis_metin_düzenleme,puntoyu artırır mısın sayfayı yazdır,"[""puntoyu"", ""artırır"", ""mısın"", ""sayfayı"", ""yazdır""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""ARTIR"",""ARTIR"",""ARTIR"",""YAZDIR"",""YAZDIR""]",
CK-1463,temel_bilgisayar,klasörü açıp raporu bularak masaüstüne kopyala,"[""klasörü"", ""açıp"", ""raporu"", ""bularak"", ""masaüstüne"", ""kopyala""]","[""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""BUL"",""BUL"",""KOPYALA"",""KOPYALA""]",
CK-2069,ofis_metin_düzenleme,yazı tipi panelini aç puntoyu azalt taslak çıktıyı yazdır,"[""yazı"", ""tipi"", ""panelini"", ""aç"", ""puntoyu"", ""azalt"", ""taslak"", ""çıktıyı"", ""yazdır""]","[""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""AÇ"",""AZALT"",""AZALT"",""YAZDIR"",""YAZDIR"",""YAZDIR""]",
CK-2130,tarayıcı_internet,yeni sekme oluştur adres çubuğuna e devlet yaz arama sonucunu aç,"[""yeni"", ""sekme"", ""oluştur"", ""adres"", ""çubuğuna"", ""e"", ""devlet"", ""yaz"", ""arama"", ""sonucunu"", ""aç""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK""]","[""YENİ_OLUŞTUR"",""YENİ_OLUŞTUR"",""YENİ_OLUŞTUR"",""YAZ"",""YAZ"",""YAZ"",""YAZ"",""YAZ"",""AÇ"",""AÇ"",""AÇ""]",
CK-3251,tarayıcı_internet,geri gitme yan sekmeye geç sayfayı yenile duyuru ara sonuca tıkla,"[""geri"", ""gitme"", ""yan"", ""sekmeye"", ""geç"", ""sayfayı"", ""yenile"", ""duyuru"", ""ara"", ""sonuca"", ""tıkla""]","[""O"",""O"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""O"",""O"",""SEKME_DEĞİŞTİR"",""SEKME_DEĞİŞTİR"",""SEKME_DEĞİŞTİR"",""YİNELE"",""YİNELE"",""ARA"",""ARA"",""TIKLA"",""TIKLA""]",
CK-1913,ofis_metin_düzenleme,belgeyi yazdır dur belgeyi yazdırma önizlemeyi aç yalnızca iki sayfayı yazdır,"[""belgeyi"", ""yazdır"", ""dur"", ""belgeyi"", ""yazdırma"", ""önizlemeyi"", ""aç"", ""yalnızca"", ""iki"", ""sayfayı"", ""yazdır""]","[""O"",""O"",""O"",""O"",""O"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK""]","[""O"",""O"",""O"",""O"",""O"",""AÇ"",""AÇ"",""YAZDIR"",""YAZDIR"",""YAZDIR"",""YAZDIR""]",
CK-1929,tarayıcı_internet,drive sayfasını açıp dosya ekle düğmesine basarak raporu yükle,"[""drive"", ""sayfasını"", ""açıp"", ""dosya"", ""ekle"", ""düğmesine"", ""basarak"", ""raporu"", ""yükle""]","[""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""AÇ"",""TIKLA"",""TIKLA"",""TIKLA"",""TIKLA"",""YÜKLE"",""YÜKLE""]",
CK-1452,tarayıcı_internet,sayfayı aç aşağı in tabloyu bul satırı kopyala,"[""sayfayı"", ""aç"", ""aşağı"", ""in"", ""tabloyu"", ""bul"", ""satırı"", ""kopyala""]","[""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""KAYDIR"",""KAYDIR"",""BUL"",""BUL"",""KOPYALA"",""KOPYALA""]",
CK-3190,dosya_yazılım_geliştirme,env dosyasını yeniden adlandır kaydet depoya yükle isteği gönder,"[""env"", ""dosyasını"", ""yeniden"", ""adlandır"", ""kaydet"", ""depoya"", ""yükle"", ""isteği"", ""gönder""]","[""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""YENİDEN_ADLANDIR"",""YENİDEN_ADLANDIR"",""YENİDEN_ADLANDIR"",""YENİDEN_ADLANDIR"",""KAYDET"",""YÜKLE"",""YÜKLE"",""GÖNDER"",""GÖNDER""]",
CK-2049,tarayıcı_internet,hadi erişilebilirlik araması yap sonra resmi kılavuz sonucunu bul sonucu aç,"[""hadi"", ""erişilebilirlik"", ""araması"", ""yap"", ""sonra"", ""resmi"", ""kılavuz"", ""sonucunu"", ""bul"", ""sonucu"", ""aç""]","[""O"",""B-TASK"",""I-TASK"",""I-TASK"",""O"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""O"",""ARA"",""ARA"",""ARA"",""O"",""BUL"",""BUL"",""BUL"",""BUL"",""AÇ"",""AÇ""]",
