id,domain,raw_command,tokens,annotator_boundary_labels,annotator_task_token_labels,notes
CK-2595,dosya_yazılım_geliştirme,dosya aramasını aç helper yaz çıkan sonucu sağ tarafta aç,"[""dosya"", ""aramasını"", ""aç"", ""helper"", ""yaz"", ""çıkan"", ""sonucu"", ""sağ"", ""tarafta"", ""aç""]",,,
CK-3523,temel_bilgisayar,erişim panelini aç yüksek kontrast ayarını bul onu etkinleştir,"[""erişim"", ""panelini"", ""aç"", ""yüksek"", ""kontrast"", ""ayarını"", ""bul"", ""onu"", ""etkinleştir""]",,,
CK-1429,temel_bilgisayar,programı kaldırma dur programı seç güncelle düğmesine tıkla,"[""programı"", ""kaldırma"", ""dur"", ""programı"", ""seç"", ""güncelle"", ""düğmesine"", ""tıkla""]",,,
CK-1713,dosya_yazılım_geliştirme,temrinal çıktısında warning ara satırı koypala,"[""temrinal"", ""çıktısında"", ""warning"", ""ara"", ""satırı"", ""koypala""]",,,
CK-3453,ofis_metin_düzenleme,belgeyi yazdır lütfen,"[""belgeyi"", ""yazdır"", ""lütfen""]",,,
CK-2087,dosya_yazılım_geliştirme,git panelini aç commit mesajı yaz commit gönder,"[""git"", ""panelini"", ""aç"", ""commit"", ""mesajı"", ""yaz"", ""commit"", ""gönder""]",,,
CK-3750,temel_bilgisayar,şu açık listeyi aşağı indir en sondaki öğeyi göster,"[""şu"", ""açık"", ""listeyi"", ""aşağı"", ""indir"", ""en"", ""sondaki"", ""öğeyi"", ""göster""]",,,
CK-1714,ofis_metin_düzenleme,pavırpoyntta alt bilgi alanını seç tarihi yaz kaydetti,"[""pavırpoyntta"", ""alt"", ""bilgi"", ""alanını"", ""seç"", ""tarihi"", ""yaz"", ""kaydetti""]",,,
CK-3595,dosya_yazılım_geliştirme,branch değiştirme sadece değişiklikleri kaydet,"[""branch"", ""değiştirme"", ""sadece"", ""değişiklikleri"", ""kaydet""]",,,
CK-2161,ofis_metin_düzenleme,belgede öğrenci adını bul soyadını seç kes yeni satıra yapıştır,"[""belgede"", ""öğrenci"", ""adını"", ""bul"", ""soyadını"", ""seç"", ""kes"", ""yeni"", ""satıra"", ""yapıştır""]",,,
CK-3829,ofis_metin_düzenleme,paragrafı seçmeden önce imleci giriş kısmına götür,"[""paragrafı"", ""seçmeden"", ""önce"", ""imleci"", ""giriş"", ""kısmına"", ""götür""]",,,
CK-2209,temel_bilgisayar,görev çubuğundaki ses simgesini aç mikrofon girişini seç seviyeyi azalt,"[""görev"", ""çubuğundaki"", ""ses"", ""simgesini"", ""aç"", ""mikrofon"", ""girişini"", ""seç"", ""seviyeyi"", ""azalt""]",,,
CK-2607,temel_bilgisayar,ya alttaki ses simgesine tıklar mısın uygulama sesini biraz artır,"[""ya"", ""alttaki"", ""ses"", ""simgesine"", ""tıklar"", ""mısın"", ""uygulama"", ""sesini"", ""biraz"", ""artır""]",,,
CK-1596,tarayıcı_internet,indirilenler panelini aç ardından son dosyayı seç ve dosya yolunu kopyala,"[""indirilenler"", ""panelini"", ""aç"", ""ardından"", ""son"", ""dosyayı"", ""seç"", ""ve"", ""dosya"", ""yolunu"", ""kopyala""]",,,
CK-3494,dosya_yazılım_geliştirme,paket indirme dosyayı yükle logu yazdır terminali kapat,"[""paket"", ""indirme"", ""dosyayı"", ""yükle"", ""logu"", ""yazdır"", ""terminali"", ""kapat""]",,,
CK-2064,ofis_metin_düzenleme,formül hücresini seç formülü kopyala alt hücrelere yapıştır işlemi yinele,"[""formül"", ""hücresini"", ""seç"", ""formülü"", ""kopyala"", ""alt"", ""hücrelere"", ""yapıştır"", ""işlemi"", ""yinele""]",,,
CK-2090,dosya_yazılım_geliştirme,debug panelini aç izleme seviyesini artır log ayrıntısını azalt,"[""debug"", ""panelini"", ""aç"", ""izleme"", ""seviyesini"", ""artır"", ""log"", ""ayrıntısını"", ""azalt""]",,,
CK-2405,temel_bilgisayar,sağ alttaki ses panelini aç mikrofonu seç seviyeyi biraz azalt,"[""sağ"", ""alttaki"", ""ses"", ""panelini"", ""aç"", ""mikrofonu"", ""seç"", ""seviyeyi"", ""biraz"", ""azalt""]",,,
CK-2150,tarayıcı_internet,dosyayı indir hayır önizlemeyi aç sayfa görünümünü büyüt,"[""dosyayı"", ""indir"", ""hayır"", ""önizlemeyi"", ""aç"", ""sayfa"", ""görünümünü"", ""büyüt""]",,,
CK-2246,tarayıcı_internet,bu sekmeyi şimdilik kapat diğer açık sekmeye geç oradaki dosyayı indir,"[""bu"", ""sekmeyi"", ""şimdilik"", ""kapat"", ""diğer"", ""açık"", ""sekmeye"", ""geç"", ""oradaki"", ""dosyayı"", ""indir""]",,,
CK-2196,dosya_yazılım_geliştirme,kaynak klasörü aç eski raporu seç sil yeni raporu yapıştır,"[""kaynak"", ""klasörü"", ""aç"", ""eski"", ""raporu"", ""seç"", ""sil"", ""yeni"", ""raporu"", ""yapıştır""]",,,
CK-2575,ofis_metin_düzenleme,tablo başlığını seç rengini değiştir dosyayı kaydet yazdırma önizlemesini aç,"[""tablo"", ""başlığını"", ""seç"", ""rengini"", ""değiştir"", ""dosyayı"", ""kaydet"", ""yazdırma"", ""önizlemesini"", ""aç""]",,,
CK-3828,ofis_metin_düzenleme,Excel'deki filtreyi temizle sonra tabloyu en üste kaydır,"[""Excel'deki"", ""filtreyi"", ""temizle"", ""sonra"", ""tabloyu"", ""en"", ""üste"", ""kaydır""]",,,
CK-1586,temel_bilgisayar,bi şuradaki raporu bul lütfen aç hemen,"[""bi"", ""şuradaki"", ""raporu"", ""bul"", ""lütfen"", ""aç"", ""hemen""]",,,
CK-2687,dosya_yazılım_geliştirme,Docker dosyasını silme yok sadece expose satırını bul,"[""Docker"", ""dosyasını"", ""silme"", ""yok"", ""sadece"", ""expose"", ""satırını"", ""bul""]",,,
CK-1876,dosya_yazılım_geliştirme,komut satırına git checkout tire b accessibility fix yaz enter bas,"[""komut"", ""satırına"", ""git"", ""checkout"", ""tire"", ""b"", ""accessibility"", ""fix"", ""yaz"", ""enter"", ""bas""]",,,
CK-1915,ofis_metin_düzenleme,satırı kes vazgeç satırı seç satırı kopyala alta yapıştır,"[""satırı"", ""kes"", ""vazgeç"", ""satırı"", ""seç"", ""satırı"", ""kopyala"", ""alta"", ""yapıştır""]",,,
CK-2307,temel_bilgisayar,masaüstüne git arama kutusunu seç ekran okuyucu yaz enter,"[""masaüstüne"", ""git"", ""arama"", ""kutusunu"", ""seç"", ""ekran"", ""okuyucu"", ""yaz"", ""enter""]",,,
CK-3261,ofis_metin_düzenleme,puntoyu artırır mısın sayfayı yazdır,"[""puntoyu"", ""artırır"", ""mısın"", ""sayfayı"", ""yazdır""]",,,
CK-1463,temel_bilgisayar,klasörü açıp raporu bularak masaüstüne kopyala,"[""klasörü"", ""açıp"", ""raporu"", ""bularak"", ""masaüstüne"", ""kopyala""]",,,
CK-2069,ofis_metin_düzenleme,yazı tipi panelini aç puntoyu azalt taslak çıktıyı yazdır,"[""yazı"", ""tipi"", ""panelini"", ""aç"", ""puntoyu"", ""azalt"", ""taslak"", ""çıktıyı"", ""yazdır""]",,,
CK-2130,tarayıcı_internet,yeni sekme oluştur adres çubuğuna e devlet yaz arama sonucunu aç,"[""yeni"", ""sekme"", ""oluştur"", ""adres"", ""çubuğuna"", ""e"", ""devlet"", ""yaz"", ""arama"", ""sonucunu"", ""aç""]",,,
CK-3251,tarayıcı_internet,geri gitme yan sekmeye geç sayfayı yenile duyuru ara sonuca tıkla,"[""geri"", ""gitme"", ""yan"", ""sekmeye"", ""geç"", ""sayfayı"", ""yenile"", ""duyuru"", ""ara"", ""sonuca"", ""tıkla""]",,,
CK-1913,ofis_metin_düzenleme,belgeyi yazdır dur belgeyi yazdırma önizlemeyi aç yalnızca iki sayfayı yazdır,"[""belgeyi"", ""yazdır"", ""dur"", ""belgeyi"", ""yazdırma"", ""önizlemeyi"", ""aç"", ""yalnızca"", ""iki"", ""sayfayı"", ""yazdır""]",,,
CK-1929,tarayıcı_internet,drive sayfasını açıp dosya ekle düğmesine basarak raporu yükle,"[""drive"", ""sayfasını"", ""açıp"", ""dosya"", ""ekle"", ""düğmesine"", ""basarak"", ""raporu"", ""yükle""]",,,
CK-1452,tarayıcı_internet,sayfayı aç aşağı in tabloyu bul satırı kopyala,"[""sayfayı"", ""aç"", ""aşağı"", ""in"", ""tabloyu"", ""bul"", ""satırı"", ""kopyala""]",,,
CK-3190,dosya_yazılım_geliştirme,env dosyasını yeniden adlandır kaydet depoya yükle isteği gönder,"[""env"", ""dosyasını"", ""yeniden"", ""adlandır"", ""kaydet"", ""depoya"", ""yükle"", ""isteği"", ""gönder""]",,,
CK-2049,tarayıcı_internet,hadi erişilebilirlik araması yap sonra resmi kılavuz sonucunu bul sonucu aç,"[""hadi"", ""erişilebilirlik"", ""araması"", ""yap"", ""sonra"", ""resmi"", ""kılavuz"", ""sonucunu"", ""bul"", ""sonucu"", ""aç""]",,,
CK-3476,ofis_metin_düzenleme,başlığı küçült paragrafı kes boşluk bırak belgeyi yazdır gönder,"[""başlığı"", ""küçült"", ""paragrafı"", ""kes"", ""boşluk"", ""bırak"", ""belgeyi"", ""yazdır"", ""gönder""]",,,
CK-3249,tarayıcı_internet,ana sayfaya gitme raporlar sekmesine geç listeyi kaydır formu gönder,"[""ana"", ""sayfaya"", ""gitme"", ""raporlar"", ""sekmesine"", ""geç"", ""listeyi"", ""kaydır"", ""formu"", ""gönder""]",,,
CK-2618,temel_bilgisayar,bu uyarı sürekli çıkıyor ya ayrıntılarına tıkla,"[""bu"", ""uyarı"", ""sürekli"", ""çıkıyor"", ""ya"", ""ayrıntılarına"", ""tıkla""]",,,
CK-2431,tarayıcı_internet,Google sonuçlarında biraz aşağı kaydır akademik olan bağlantıyı aç,"[""Google"", ""sonuçlarında"", ""biraz"", ""aşağı"", ""kaydır"", ""akademik"", ""olan"", ""bağlantıyı"", ""aç""]",,,
CK-3487,dosya_yazılım_geliştirme,hata satırını kes dosyayı kaydet,"[""hata"", ""satırını"", ""kes"", ""dosyayı"", ""kaydet""]",,,
CK-3263,ofis_metin_düzenleme,renk değiştirme tabloyu seç kopyala alta yapıştır kaydet,"[""renk"", ""değiştirme"", ""tabloyu"", ""seç"", ""kopyala"", ""alta"", ""yapıştır"", ""kaydet""]",,,
CK-3363,ofis_metin_düzenleme,tablo başlığını yaz sonra enter bas,"[""tablo"", ""başlığını"", ""yaz"", ""sonra"", ""enter"", ""bas""]",,,
CK-3591,dosya_yazılım_geliştirme,deployment arşivini indir proje dizinine yükle,"[""deployment"", ""arşivini"", ""indir"", ""proje"", ""dizinine"", ""yükle""]",,,
CK-1481,temel_bilgisayar,ya bi şu pencereyi küçült sonra görev çubuğuna dön,"[""ya"", ""bi"", ""şu"", ""pencereyi"", ""küçült"", ""sonra"", ""görev"", ""çubuğuna"", ""dön""]",,,
CK-3780,tarayıcı_internet,sekmeyi yenilemeden adres çubuğuna yeni sorguyu yaz,"[""sekmeyi"", ""yenilemeden"", ""adres"", ""çubuğuna"", ""yeni"", ""sorguyu"", ""yaz""]",,,
CK-2524,temel_bilgisayar,sağ alttaki pil simgesine tıkla güç modunu seç tasarrufu artır,"[""sağ"", ""alttaki"", ""pil"", ""simgesine"", ""tıkla"", ""güç"", ""modunu"", ""seç"", ""tasarrufu"", ""artır""]",,,
CK-3726,temel_bilgisayar,masaüstündeki dağınık simgeleri ada göre sırala,"[""masaüstündeki"", ""dağınık"", ""simgeleri"", ""ada"", ""göre"", ""sırala""]",,,
CK-3878,dosya_yazılım_geliştirme,package-lock dosyasını silme sadece eski kopyasını oluştur,"[""package-lock"", ""dosyasını"", ""silme"", ""sadece"", ""eski"", ""kopyasını"", ""oluştur""]",,,
CK-2063,ofis_metin_düzenleme,kaynakça bölümünü aç eksik doi satırını bul doi bilgisini yaz,"[""kaynakça"", ""bölümünü"", ""aç"", ""eksik"", ""doi"", ""satırını"", ""bul"", ""doi"", ""bilgisini"", ""yaz""]",,,
CK-3652,dosya_yazılım_geliştirme,proje loglarında timeout hatasını ara,"[""proje"", ""loglarında"", ""timeout"", ""hatasını"", ""ara""]",,,
CK-2031,tarayıcı_internet,pdfde üçüncü sayfaya kaydır imza alanını bul görünümü büyüt,"[""pdfde"", ""üçüncü"", ""sayfaya"", ""kaydır"", ""imza"", ""alanını"", ""bul"", ""görünümü"", ""büyüt""]",,,
CK-2072,ofis_metin_düzenleme,hücre aralığını seç sıralamayı uygula filtre değerini değiştir,"[""hücre"", ""aralığını"", ""seç"", ""sıralamayı"", ""uygula"", ""filtre"", ""değerini"", ""değiştir""]",,,
CK-1431,temel_bilgisayar,klasörü açma yok hayır klasörü seç klasörü yeniden adlandır,"[""klasörü"", ""açma"", ""yok"", ""hayır"", ""klasörü"", ""seç"", ""klasörü"", ""yeniden"", ""adlandır""]",,,
CK-2728,tarayıcı_internet,makale sayfasında tabloya kadar in,"[""makale"", ""sayfasında"", ""tabloya"", ""kadar"", ""in""]",,,
CK-2455,ofis_metin_düzenleme,PowerPoint'te sağdaki görseli seç biraz sola taşı boyutunu küçült,"[""PowerPoint'te"", ""sağdaki"", ""görseli"", ""seç"", ""biraz"", ""sola"", ""taşı"", ""boyutunu"", ""küçült""]",,,
CK-3633,tarayıcı_internet,adres satırını seç eski adresi sil yeni adresi yaz,"[""adres"", ""satırını"", ""seç"", ""eski"", ""adresi"", ""sil"", ""yeni"", ""adresi"", ""yaz""]",,,
CK-2531,tarayıcı_internet,yeni sekme aç site adresini yapıştır enter bas sayfayı aşağı kaydır,"[""yeni"", ""sekme"", ""aç"", ""site"", ""adresini"", ""yapıştır"", ""enter"", ""bas"", ""sayfayı"", ""aşağı"", ""kaydır""]",,,
CK-1374,dosya_yazılım_geliştirme,terminal aç pytest yaz enter bas hatayı bul kopyala,"[""terminal"", ""aç"", ""pytest"", ""yaz"", ""enter"", ""bas"", ""hatayı"", ""bul"", ""kopyala""]",,,
CK-2371,ofis_metin_düzenleme,ııı şu kaynakça başlığını bul altındaki paragrafı seç kopyala,"[""ııı"", ""şu"", ""kaynakça"", ""başlığını"", ""bul"", ""altındaki"", ""paragrafı"", ""seç"", ""kopyala""]",,,
CK-3723,temel_bilgisayar,ekran parlaklığını düşürme gece ışığını aç,"[""ekran"", ""parlaklığını"", ""düşürme"", ""gece"", ""ışığını"", ""aç""]",,,
CK-3121,dosya_yazılım_geliştirme,taşımayalım ya sadece dosya adını değiştir,"[""taşımayalım"", ""ya"", ""sadece"", ""dosya"", ""adını"", ""değiştir""]",,,
CK-2119,temel_bilgisayar,bluetoothu kapat yok hayır wifi panelini aç ev ağını seç bağlan düğmesine tıkla,"[""bluetoothu"", ""kapat"", ""yok"", ""hayır"", ""wifi"", ""panelini"", ""aç"", ""ev"", ""ağını"", ""seç"", ""bağlan"", ""düğmesine"", ""tıkla""]",,,
CK-1723,ofis_metin_düzenleme,yorumları kabul etme vazgeç yorumlar panelini aç ilk yorumu seç,"[""yorumları"", ""kabul"", ""etme"", ""vazgeç"", ""yorumlar"", ""panelini"", ""aç"", ""ilk"", ""yorumu"", ""seç""]",,,
CK-2305,temel_bilgisayar,dosya penceresine geçip sol listedeki belgeler klasörünü açarak son dosyayı seç,"[""dosya"", ""penceresine"", ""geçip"", ""sol"", ""listedeki"", ""belgeler"", ""klasörünü"", ""açarak"", ""son"", ""dosyayı"", ""seç""]",,,
CK-1205,temel_bilgisayar,dosyya gezginini aç indirmelere git pdfyi bul ve aç,"[""dosyya"", ""gezginini"", ""aç"", ""indirmelere"", ""git"", ""pdfyi"", ""bul"", ""ve"", ""aç""]",,,
CK-2284,dosya_yazılım_geliştirme,Git panelini aç değişen dosyayı seç commit mesajına ilk sürüm yaz,"[""Git"", ""panelini"", ""aç"", ""değişen"", ""dosyayı"", ""seç"", ""commit"", ""mesajına"", ""ilk"", ""sürüm"", ""yaz""]",,,
CK-1774,tarayıcı_internet,site sertifikasını açıp ayrıntılar sekmesine geçerek bilgiyi kopyala,"[""site"", ""sertifikasını"", ""açıp"", ""ayrıntılar"", ""sekmesine"", ""geçerek"", ""bilgiyi"", ""kopyala""]",,,
CK-1834,temel_bilgisayar,bu klasörü seçip yedek dizinine taşı,"[""bu"", ""klasörü"", ""seçip"", ""yedek"", ""dizinine"", ""taşı""]",,,
CK-1334,ofis_metin_düzenleme,slayttaki simgeyi seçip büyüterek üst köşeye taşı,"[""slayttaki"", ""simgeyi"", ""seçip"", ""büyüterek"", ""üst"", ""köşeye"", ""taşı""]",,,
CK-3331,tarayıcı_internet,arama motorunda erişilebilir tasarım ara,"[""arama"", ""motorunda"", ""erişilebilir"", ""tasarım"", ""ara""]",,,
CK-3046,dosya_yazılım_geliştirme,zip paketini indirir misin sonra downloads klasörüne taşı,"[""zip"", ""paketini"", ""indirir"", ""misin"", ""sonra"", ""downloads"", ""klasörüne"", ""taşı""]",,,
CK-2324,temel_bilgisayar,şuradaki takvim bildirimini aç toplantı bağlantısını kopyala bildirimi kapat,"[""şuradaki"", ""takvim"", ""bildirimini"", ""aç"", ""toplantı"", ""bağlantısını"", ""kopyala"", ""bildirimi"", ""kapat""]",,,
CK-3033,tarayıcı_internet,yan sekmeye geçelim mi sonra bir yenilesene,"[""yan"", ""sekmeye"", ""geçelim"", ""mi"", ""sonra"", ""bir"", ""yenilesene""]",,,
CK-3730,temel_bilgisayar,açık pencereyi tam ekran yapma sadece biraz büyüt,"[""açık"", ""pencereyi"", ""tam"", ""ekran"", ""yapma"", ""sadece"", ""biraz"", ""büyüt""]",,,
CK-2904,temel_bilgisayar,pencereyi büyüt yok yok şimdilik küçültelim,"[""pencereyi"", ""büyüt"", ""yok"", ""yok"", ""şimdilik"", ""küçültelim""]",,,
CK-3492,dosya_yazılım_geliştirme,satırı kes dosyayı kaydet repoya yükle,"[""satırı"", ""kes"", ""dosyayı"", ""kaydet"", ""repoya"", ""yükle""]",,,
CK-1266,tarayıcı_internet,dosyayı indir şey yok hedef klasörü seç dosyayı indir,"[""dosyayı"", ""indir"", ""şey"", ""yok"", ""hedef"", ""klasörü"", ""seç"", ""dosyayı"", ""indir""]",,,
CK-2962,dosya_yazılım_geliştirme,dosyayı silme sakın log dosyasını aç timeout hatası ara sonucu kopyala,"[""dosyayı"", ""silme"", ""sakın"", ""log"", ""dosyasını"", ""aç"", ""timeout"", ""hatası"", ""ara"", ""sonucu"", ""kopyala""]",,,
CK-1420,temel_bilgisayar,dosyya yolunu seç koypala çalıştır penceresine yapıştr,"[""dosyya"", ""yolunu"", ""seç"", ""koypala"", ""çalıştır"", ""penceresine"", ""yapıştr""]",,,
CK-2833,tarayıcı_internet,sekme kapatma yeni sekme aç arama kutusunda rapor ara,"[""sekme"", ""kapatma"", ""yeni"", ""sekme"", ""aç"", ""arama"", ""kutusunda"", ""rapor"", ""ara""]",,,
CK-1583,ofis_metin_düzenleme,ııı grafiği seç biraz küçült kaydet hadi,"[""ııı"", ""grafiği"", ""seç"", ""biraz"", ""küçült"", ""kaydet"", ""hadi""]",,,
CK-2023,temel_bilgisayar,klasörü kapatma dur klasör adını toplantı yap klasörü belgeler içine taşı,"[""klasörü"", ""kapatma"", ""dur"", ""klasör"", ""adını"", ""toplantı"", ""yap"", ""klasörü"", ""belgeler"", ""içine"", ""taşı""]",,,
CK-1901,temel_bilgisayar,alternatif giriş ayarını aç anahtar tarama modunu seç aç,"[""alternatif"", ""giriş"", ""ayarını"", ""aç"", ""anahtar"", ""tarama"", ""modunu"", ""seç"", ""aç""]",,,
CK-1391,temel_bilgisayar,ya bi şu pencereyi büyüt sonra sağa al,"[""ya"", ""bi"", ""şu"", ""pencereyi"", ""büyüt"", ""sonra"", ""sağa"", ""al""]",,,
CK-1231,ofis_metin_düzenleme,belgeyi açıp giriş bölümüne giderek ilk paragrafı seç,"[""belgeyi"", ""açıp"", ""giriş"", ""bölümüne"", ""giderek"", ""ilk"", ""paragrafı"", ""seç""]",,,
CK-3090,dosya_yazılım_geliştirme,çıktıyı silme log dosyasını aç son hatayı bul o satırı seç,"[""çıktıyı"", ""silme"", ""log"", ""dosyasını"", ""aç"", ""son"", ""hatayı"", ""bul"", ""o"", ""satırı"", ""seç""]",,,
CK-3178,ofis_metin_düzenleme,başlığı büyütme ilgili kelimeyi bul cümleyi seç kes kaydet,"[""başlığı"", ""büyütme"", ""ilgili"", ""kelimeyi"", ""bul"", ""cümleyi"", ""seç"", ""kes"", ""kaydet""]",,,
CK-2975,tarayıcı_internet,yeni sekme açalım dergi sayfasına gidelim son sayıyı indirelim indirme uyarısını kapatalım,"[""yeni"", ""sekme"", ""açalım"", ""dergi"", ""sayfasına"", ""gidelim"", ""son"", ""sayıyı"", ""indirelim"", ""indirme"", ""uyarısını"", ""kapatalım""]",,,
CK-1574,ofis_metin_düzenleme,slaytı seçerek çoğaltıp en başa taşı,"[""slaytı"", ""seçerek"", ""çoğaltıp"", ""en"", ""başa"", ""taşı""]",,,
CK-2203,temel_bilgisayar,ya şu sağdaki pencereyi seç ekran okuyucuyu aç bir de sesi biraz artır,"[""ya"", ""şu"", ""sağdaki"", ""pencereyi"", ""seç"", ""ekran"", ""okuyucuyu"", ""aç"", ""bir"", ""de"", ""sesi"", ""biraz"", ""artır""]",,,
CK-3398,dosya_yazılım_geliştirme,hata satırını seç kopyala arama alanına yapıştır ara,"[""hata"", ""satırını"", ""seç"", ""kopyala"", ""arama"", ""alanına"", ""yapıştır"", ""ara""]",,,
CK-2227,temel_bilgisayar,tamam bu pencere kalsın diğer monitördeki tarafa geç oradaki ayarlar kutusunu kapat,"[""tamam"", ""bu"", ""pencere"", ""kalsın"", ""diğer"", ""monitördeki"", ""tarafa"", ""geç"", ""oradaki"", ""ayarlar"", ""kutusunu"", ""kapat""]",,,
CK-2878,ofis_metin_düzenleme,başlığı seç kes alt satıra yapıştır belgeyi kaydet,"[""başlığı"", ""seç"", ""kes"", ""alt"", ""satıra"", ""yapıştır"", ""belgeyi"", ""kaydet""]",,,
CK-2697,dosya_yazılım_geliştirme,json dosyasında ayar bloğunu bulup alt satıra geçerek virgül yaz,"[""json"", ""dosyasında"", ""ayar"", ""bloğunu"", ""bulup"", ""alt"", ""satıra"", ""geçerek"", ""virgül"", ""yaz""]",,,
CK-2485,dosya_yazılım_geliştirme,terminal çıktısında failed yazan satırı bul o satırı seç kopyala,"[""terminal"", ""çıktısında"", ""failed"", ""yazan"", ""satırı"", ""bul"", ""o"", ""satırı"", ""seç"", ""kopyala""]",,,
CK-1238,tarayıcı_internet,pdfyi büyütüp aşağı kaydırarak tabloyu bul,"[""pdfyi"", ""büyütüp"", ""aşağı"", ""kaydırarak"", ""tabloyu"", ""bul""]",,,
CK-2906,temel_bilgisayar,ekran çok parlak ya parlaklığı birazcık azalt,"[""ekran"", ""çok"", ""parlak"", ""ya"", ""parlaklığı"", ""birazcık"", ""azalt""]",,,
CK-3444,tarayıcı_internet,reklamı kapat arama yap sonucu indir,"[""reklamı"", ""kapat"", ""arama"", ""yap"", ""sonucu"", ""indir""]",,,
CK-1770,tarayıcı_internet,video oynatıcıyı büyütüp altyazı menüsünü açarak türkçeyi seç,"[""video"", ""oynatıcıyı"", ""büyütüp"", ""altyazı"", ""menüsünü"", ""açarak"", ""türkçeyi"", ""seç""]",,,
CK-1434,dosya_yazılım_geliştirme,scripti çalıştırma dur script dosyasını aç script satırını bul,"[""scripti"", ""çalıştırma"", ""dur"", ""script"", ""dosyasını"", ""aç"", ""script"", ""satırını"", ""bul""]",,,
CK-3085,dosya_yazılım_geliştirme,kod bloğunu silme fonksiyonu bul seç ve kes,"[""kod"", ""bloğunu"", ""silme"", ""fonksiyonu"", ""bul"", ""seç"", ""ve"", ""kes""]",,,
CK-3259,ofis_metin_düzenleme,metni ara bulduğun cümleyi seç,"[""metni"", ""ara"", ""bulduğun"", ""cümleyi"", ""seç""]",,,
