id,domain,task_count,raw_command,token_count,token_accuracy,all_tokens_correct,gold_labels,gold_segments,predicted_task_count,predicted_labels,predicted_segments
CH-0039,tarayıcı_internet,2,tarayıcıda olduğumuz sayfayı yenile sonra tekrar aşağı in,8,0.75,False,YİNELE ; KAYDIR,YİNELE:sayfayı yenile ; KAYDIR:tekrar aşağı in,2,YİNELE ; KAYDIR,YİNELE:tarayıcıda olduğumuz sayfayı yenile ; KAYDIR:tekrar aşağı in
CH-0066,ofis_metin_düzenleme,1,Word belgesini yazdırma ayarına getir ama yazdırmayı başlatma,8,0.75,False,YAZDIR,YAZDIR:Word belgesini yazdırma ayarına getir,2,YAZDIR ; DEĞİŞTİR,YAZDIR:Word belgesini yazdırma ; DEĞİŞTİR:ayarına getir
CH-0003,temel_bilgisayar,2,görev yöneticisini aç sonra da word'ü oradan kapat,8,0.75,False,AÇ ; KAPAT,AÇ:görev yöneticisini aç ; KAPAT:word'ü oradan kapat,2,AÇ ; KAPAT,AÇ:görev yöneticisini aç ; KAPAT:kapat
CH-0040,tarayıcı_internet,1,bu sayfayı biraz yukarı kaydır başlık kısmı lazım,8,0.75,False,KAYDIR,KAYDIR:biraz yukarı kaydır,1,KAYDIR,KAYDIR:bu sayfayı biraz yukarı kaydır
CH-0049,tarayıcı_internet,2,Chrome'da açık sekmelerden sağdakine geç ve sayfayı biraz aşağı kaydır,10,0.8,False,SEKME_DEĞİŞTİR ; KAYDIR,SEKME_DEĞİŞTİR:sağdakine geç ; KAYDIR:sayfayı biraz aşağı kaydır,2,GEÇ ; KAYDIR,GEÇ:sağdakine geç ; KAYDIR:sayfayı biraz aşağı kaydır
CH-0084,dosya_yazılım_geliştirme,3,terminali açıp npm test komutunu çalıştır ama sonucu göndermeden ekranda bırak,11,0.8181818181818182,False,AÇ ; DİĞER ; DİĞER,AÇ:terminali açıp ; DİĞER:npm test komutunu çalıştır ; DİĞER:ekranda bırak,2,AÇ ; DİĞER,AÇ:terminali açıp ; DİĞER:npm test komutunu çalıştır
CH-0086,dosya_yazılım_geliştirme,2,README dosyasının en altına git ve kurulum notu diye bir başlık ekle,12,0.8333333333333334,False,GİT ; YAZ,GİT:en altına git ; YAZ:kurulum notu diye bir başlık ekle,2,GİT ; YAZ,GİT:README dosyasının en altına git ; YAZ:kurulum notu diye bir başlık ekle
CH-0096,dosya_yazılım_geliştirme,3,"terminalde komut satırına pip install yaz, bir boşluk bırak, paket adını yapıştır",12,0.8333333333333334,False,YAZ ; BOŞLUK ; YAPIŞTIR,"YAZ:pip install yaz, ; BOŞLUK:bir boşluk bırak, ; YAPIŞTIR:paket adını yapıştır",3,YAZ ; BOŞLUK ; YAPIŞTIR,"YAZ:komut satırına pip install yaz, ; BOŞLUK:bir boşluk bırak, ; YAPIŞTIR:paket adını yapıştır"
CH-0022,temel_bilgisayar,1,yanlış yere gittin ayarlarda imleç boyutunu bulacaksın,7,0.8571428571428571,False,BUL,BUL:imleç boyutunu bulacaksın,1,BUL,BUL:ayarlarda imleç boyutunu bulacaksın
CH-0021,temel_bilgisayar,1,ekrandaki küçük yazıları biraz büyüt gözüm seçmiyor,7,0.8571428571428571,False,BÜYÜT,BÜYÜT:küçük yazıları biraz büyüt,1,BÜYÜT,BÜYÜT:ekrandaki küçük yazıları biraz büyüt
CH-0088,dosya_yazılım_geliştirme,1,Git panelini açmadan terminalden branch adını göster,7,0.8571428571428571,False,DİĞER,DİĞER:terminalden branch adını göster,1,DİĞER,DİĞER:branch adını göster
CH-0041,tarayıcı_internet,1,şu indirme tamamlandıysa dosyayı açmadan klasörde göster,7,0.8571428571428571,False,DİĞER,DİĞER:klasörde göster,2,TIKLA ; DİĞER,TIKLA:klasörde ; DİĞER:göster
CH-0001,temel_bilgisayar,3,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,15,0.8666666666666667,False,AÇ ; YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,AÇ:Semih klasörünü aç ; YENİ_OLUŞTUR:içine yeni bir txt dosyası oluştur ; YENİDEN_ADLANDIR:deneme yap,3,AÇ ; YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,AÇ:Semih klasörünü aç ; YENİ_OLUŞTUR:içine yeni bir txt dosyası oluştur ; YENİDEN_ADLANDIR:ismini de deneme yap
CH-0028,tarayıcı_internet,1,yeni sekme açmadan mevcut sekmede üniversite sitesini ara,8,0.875,False,ARA,ARA:mevcut sekmede üniversite sitesini ara,2,ARA ; ARA,ARA:mevcut ; ARA:üniversite sitesini ara
CH-0097,dosya_yazılım_geliştirme,2,"geçici cache dosyasını sil, sonra test komutunu yeniden çalıştır",9,0.8888888888888888,False,SİL ; YİNELE,"SİL:geçici cache dosyasını sil, ; YİNELE:test komutunu yeniden çalıştır",3,SİL ; YİNELE ; DİĞER,"SİL:geçici cache dosyasını sil, ; YİNELE:test komutunu yeniden ; DİĞER:çalıştır"
CH-0043,tarayıcı_internet,1,Chrome demeyeyim işte açık olan internet sayfasında arama yap,9,0.8888888888888888,False,ARA,ARA:açık olan internet sayfasında arama yap,1,ARA,ARA:olan internet sayfasında arama yap
CH-0068,ofis_metin_düzenleme,2,"Excel'de hücredeki fazla boşluğu sil, sonra formülü tekrar uygula",9,0.8888888888888888,False,SİL ; YİNELE,"SİL:fazla boşluğu sil, ; YİNELE:formülü tekrar uygula",2,SİL ; YİNELE,"SİL:hücredeki fazla boşluğu sil, ; YİNELE:formülü tekrar uygula"
CH-0087,dosya_yazılım_geliştirme,3,terminalde git status yaz enter'a bas sonra değişen dosya adını kopyala,11,0.9090909090909091,False,YAZ ; ENTER ; KOPYALA,YAZ:git status yaz ; ENTER:enter'a bas ; KOPYALA:değişen dosya adını kopyala,3,YAZ ; ENTER ; KOPYALA,YAZ:terminalde git status yaz ; ENTER:enter'a bas ; KOPYALA:değişen dosya adını kopyala
CH-0090,dosya_yazılım_geliştirme,3,"terminalde docker ps yaz sonra enter bas, çıkan container adını kopyala",11,0.9090909090909091,False,YAZ ; ENTER ; KOPYALA,"YAZ:docker ps yaz ; ENTER:enter bas, ; KOPYALA:container adını kopyala",3,YAZ ; ENTER ; KOPYALA,"YAZ:docker ps yaz ; ENTER:enter bas, ; KOPYALA:çıkan container adını kopyala"
CH-0094,dosya_yazılım_geliştirme,2,VS Code'da routes klasöründe yeni api dosyası oluştur adını user_routes yap,11,0.9090909090909091,False,YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,YENİ_OLUŞTUR:yeni api dosyası oluştur ; YENİDEN_ADLANDIR:user_routes yap,2,YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,YENİ_OLUŞTUR:yeni api dosyası oluştur ; YENİDEN_ADLANDIR:adını user_routes yap
CH-0051,ofis_metin_düzenleme,3,yeni bir sayfa aç içine 14 punto olacak şekilde bir başlık ekle başlığa da projem yaz,16,0.9375,False,AÇ ; YAZ,AÇ:yeni bir sayfa aç ; YAZ:14 punto olacak şekilde bir başlık ekle başlığa da projem yaz,2,AÇ ; YAZ,AÇ:yeni bir sayfa aç ; YAZ:içine 14 punto olacak şekilde bir başlık ekle başlığa da projem yaz
CH-0055,ofis_metin_düzenleme,4,tüm metni seç ve yazı tipini Times new roman yapıp fontunu da 12 ve iki yana yaslı olarak ayarla,19,0.9473684210526315,False,SEÇ ; DEĞİŞTİR ; DEĞİŞTİR,SEÇ:tüm metni seç ; DEĞİŞTİR:yazı tipini Times new roman yapıp fontunu da 12 ; DEĞİŞTİR:iki yana yaslı olarak ayarla,2,SEÇ ; DEĞİŞTİR,SEÇ:tüm metni seç ; DEĞİŞTİR:yazı tipini Times new roman yapıp fontunu da 12 ve iki yana yaslı olarak ayarla
