id,domain,task_count,raw_command,token_index,token,gold_boundary_label,gold_task_token_label
CK-1217,dosya_yazılım_geliştirme,3,terminali kapat yanlış oldu çıktıyı seç kopyala sonra kapat,8,kapat,B-TASK,KAPAT
CK-1221,temel_bilgisayar,4,dosya gezginini aç indirilenlere git kurulum dosyasını bul çalıştır,0,dosya,B-TASK,AÇ
CK-1221,temel_bilgisayar,4,dosya gezginini aç indirilenlere git kurulum dosyasını bul çalıştır,1,gezginini,I-TASK,AÇ
CK-1221,temel_bilgisayar,4,dosya gezginini aç indirilenlere git kurulum dosyasını bul çalıştır,2,aç,I-TASK,AÇ
CK-1221,temel_bilgisayar,4,dosya gezginini aç indirilenlere git kurulum dosyasını bul çalıştır,3,indirilenlere,B-TASK,GİT
CK-1221,temel_bilgisayar,4,dosya gezginini aç indirilenlere git kurulum dosyasını bul çalıştır,4,git,I-TASK,GİT
CK-1221,temel_bilgisayar,4,dosya gezginini aç indirilenlere git kurulum dosyasını bul çalıştır,5,kurulum,B-TASK,BUL
CK-1221,temel_bilgisayar,4,dosya gezginini aç indirilenlere git kurulum dosyasını bul çalıştır,6,dosyasını,I-TASK,BUL
CK-1221,temel_bilgisayar,4,dosya gezginini aç indirilenlere git kurulum dosyasını bul çalıştır,7,bul,I-TASK,BUL
CK-1221,temel_bilgisayar,4,dosya gezginini aç indirilenlere git kurulum dosyasını bul çalıştır,8,çalıştır,B-TASK,DİĞER
CK-1225,temel_bilgisayar,4,pencereyi küçült masaüstüne geç klasörü bul aç,0,pencereyi,B-TASK,KÜÇÜLT
CK-1225,temel_bilgisayar,4,pencereyi küçült masaüstüne geç klasörü bul aç,1,küçült,I-TASK,KÜÇÜLT
CK-1225,temel_bilgisayar,4,pencereyi küçült masaüstüne geç klasörü bul aç,2,masaüstüne,B-TASK,GEÇ
CK-1225,temel_bilgisayar,4,pencereyi küçült masaüstüne geç klasörü bul aç,3,geç,I-TASK,GEÇ
CK-1225,temel_bilgisayar,4,pencereyi küçült masaüstüne geç klasörü bul aç,4,klasörü,B-TASK,BUL
CK-1225,temel_bilgisayar,4,pencereyi küçült masaüstüne geç klasörü bul aç,5,bul,I-TASK,BUL
CK-1225,temel_bilgisayar,4,pencereyi küçült masaüstüne geç klasörü bul aç,6,aç,B-TASK,AÇ
CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,0,sunumu,B-TASK,AÇ
CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,1,aç,I-TASK,AÇ
CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,2,son,B-TASK,GEÇ
CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,3,slayta,I-TASK,GEÇ
CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,4,geç,I-TASK,GEÇ
CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,5,not,B-TASK,SEÇ
CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,6,alanını,I-TASK,SEÇ
CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,7,seç,I-TASK,SEÇ
CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,8,açıklama,B-TASK,YAZ
CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,9,yaz,I-TASK,YAZ
CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,0,src,B-TASK,GİT
CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,1,klasörüne,I-TASK,GİT
CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,2,git,I-TASK,GİT
CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,3,api,B-TASK,BUL
CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,4,dosyasını,I-TASK,BUL
CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,5,bul,I-TASK,BUL
CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,6,aç,B-TASK,AÇ
CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,7,endpoint,B-TASK,DEĞİŞTİR
CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,8,değiştir,I-TASK,DEĞİŞTİR
CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,0,arama,B-TASK,AÇ
CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,1,panelini,I-TASK,AÇ
CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,2,aç,I-TASK,AÇ
CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,3,yazıcı,B-TASK,YAZ
CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,4,yaz,I-TASK,YAZ
CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,5,sonucu,B-TASK,AÇ
CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,6,aç,I-TASK,AÇ
CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,7,test,B-TASK,YAZDIR
CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,8,sayfası,I-TASK,YAZDIR
CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,9,yazdır,I-TASK,YAZDIR
CK-1231,ofis_metin_düzenleme,3,belgeyi açıp giriş bölümüne giderek ilk paragrafı seç,0,belgeyi,B-TASK,AÇ
CK-1231,ofis_metin_düzenleme,3,belgeyi açıp giriş bölümüne giderek ilk paragrafı seç,1,açıp,I-TASK,AÇ
CK-1231,ofis_metin_düzenleme,3,belgeyi açıp giriş bölümüne giderek ilk paragrafı seç,2,giriş,B-TASK,GİT
CK-1231,ofis_metin_düzenleme,3,belgeyi açıp giriş bölümüne giderek ilk paragrafı seç,3,bölümüne,I-TASK,GİT
CK-1231,ofis_metin_düzenleme,3,belgeyi açıp giriş bölümüne giderek ilk paragrafı seç,4,giderek,I-TASK,GİT
CK-1231,ofis_metin_düzenleme,3,belgeyi açıp giriş bölümüne giderek ilk paragrafı seç,5,ilk,B-TASK,SEÇ
CK-1231,ofis_metin_düzenleme,3,belgeyi açıp giriş bölümüne giderek ilk paragrafı seç,6,paragrafı,I-TASK,SEÇ
CK-1231,ofis_metin_düzenleme,3,belgeyi açıp giriş bölümüne giderek ilk paragrafı seç,7,seç,I-TASK,SEÇ
CK-1234,ofis_metin_düzenleme,3,grafiği seçerek küçültüp sağ köşeye taşı,0,grafiği,B-TASK,SEÇ
CK-1234,ofis_metin_düzenleme,3,grafiği seçerek küçültüp sağ köşeye taşı,1,seçerek,I-TASK,SEÇ
CK-1234,ofis_metin_düzenleme,3,grafiği seçerek küçültüp sağ köşeye taşı,2,küçültüp,B-TASK,KÜÇÜLT
CK-1234,ofis_metin_düzenleme,3,grafiği seçerek küçültüp sağ köşeye taşı,3,sağ,B-TASK,TAŞI
CK-1234,ofis_metin_düzenleme,3,grafiği seçerek küçültüp sağ köşeye taşı,4,köşeye,I-TASK,TAŞI
CK-1234,ofis_metin_düzenleme,3,grafiği seçerek küçültüp sağ köşeye taşı,5,taşı,I-TASK,TAŞI
CK-1235,dosya_yazılım_geliştirme,3,terminali açıp test komutunu yazıp entera bas,0,terminali,B-TASK,AÇ
CK-1235,dosya_yazılım_geliştirme,3,terminali açıp test komutunu yazıp entera bas,1,açıp,I-TASK,AÇ
CK-1235,dosya_yazılım_geliştirme,3,terminali açıp test komutunu yazıp entera bas,2,test,B-TASK,YAZ
CK-1235,dosya_yazılım_geliştirme,3,terminali açıp test komutunu yazıp entera bas,3,komutunu,I-TASK,YAZ
CK-1235,dosya_yazılım_geliştirme,3,terminali açıp test komutunu yazıp entera bas,4,yazıp,I-TASK,YAZ
CK-1235,dosya_yazılım_geliştirme,3,terminali açıp test komutunu yazıp entera bas,5,entera,B-TASK,ENTER
CK-1235,dosya_yazılım_geliştirme,3,terminali açıp test komutunu yazıp entera bas,6,bas,I-TASK,ENTER
CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,0,pdfyi,B-TASK,BÜYÜT
CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,1,büyütüp,I-TASK,BÜYÜT
CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,2,aşağı,B-TASK,KAYDIR
CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,3,kaydırarak,I-TASK,KAYDIR
CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,4,tabloyu,B-TASK,BUL
CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,5,bul,I-TASK,BUL
CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,0,çalışma,B-TASK,AÇ
CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,1,kitabını,I-TASK,AÇ
CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,2,aç,I-TASK,AÇ
CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,3,ardından,O,O
CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,4,sonuç,B-TASK,SEÇ
CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,5,sütununu,I-TASK,SEÇ
CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,6,seç,I-TASK,SEÇ
CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,7,ve,O,O
CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,8,formülü,B-TASK,KOPYALA
CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,9,aşağı,I-TASK,KOPYALA
CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,10,kopyala,I-TASK,KOPYALA
CK-1249,dosya_yazılım_geliştirme,3,proje dizinine git ardından config dosyasını aç ve port değerini değiştir,0,proje,B-TASK,GİT
CK-1249,dosya_yazılım_geliştirme,3,proje dizinine git ardından config dosyasını aç ve port değerini değiştir,1,dizinine,I-TASK,GİT
CK-1249,dosya_yazılım_geliştirme,3,proje dizinine git ardından config dosyasını aç ve port değerini değiştir,2,git,I-TASK,GİT
CK-1249,dosya_yazılım_geliştirme,3,proje dizinine git ardından config dosyasını aç ve port değerini değiştir,3,ardından,O,O
CK-1249,dosya_yazılım_geliştirme,3,proje dizinine git ardından config dosyasını aç ve port değerini değiştir,4,config,B-TASK,AÇ
CK-1249,dosya_yazılım_geliştirme,3,proje dizinine git ardından config dosyasını aç ve port değerini değiştir,5,dosyasını,I-TASK,AÇ
CK-1249,dosya_yazılım_geliştirme,3,proje dizinine git ardından config dosyasını aç ve port değerini değiştir,6,aç,I-TASK,AÇ
CK-1249,dosya_yazılım_geliştirme,3,proje dizinine git ardından config dosyasını aç ve port değerini değiştir,7,ve,O,O
CK-1249,dosya_yazılım_geliştirme,3,proje dizinine git ardından config dosyasını aç ve port değerini değiştir,8,port,B-TASK,DEĞİŞTİR
CK-1249,dosya_yazılım_geliştirme,3,proje dizinine git ardından config dosyasını aç ve port değerini değiştir,9,değerini,I-TASK,DEĞİŞTİR
CK-1249,dosya_yazılım_geliştirme,3,proje dizinine git ardından config dosyasını aç ve port değerini değiştir,10,değiştir,I-TASK,DEĞİŞTİR
CK-1251,ofis_metin_düzenleme,4,vörd belgesini aç başlığı seç koypala ve kaydetti,0,vörd,B-TASK,AÇ
CK-1251,ofis_metin_düzenleme,4,vörd belgesini aç başlığı seç koypala ve kaydetti,1,belgesini,I-TASK,AÇ
CK-1251,ofis_metin_düzenleme,4,vörd belgesini aç başlığı seç koypala ve kaydetti,2,aç,I-TASK,AÇ
CK-1251,ofis_metin_düzenleme,4,vörd belgesini aç başlığı seç koypala ve kaydetti,3,başlığı,B-TASK,SEÇ
CK-1251,ofis_metin_düzenleme,4,vörd belgesini aç başlığı seç koypala ve kaydetti,4,seç,I-TASK,SEÇ
CK-1251,ofis_metin_düzenleme,4,vörd belgesini aç başlığı seç koypala ve kaydetti,5,koypala,B-TASK,KOPYALA
CK-1251,ofis_metin_düzenleme,4,vörd belgesini aç başlığı seç koypala ve kaydetti,6,ve,O,O
CK-1251,ofis_metin_düzenleme,4,vörd belgesini aç başlığı seç koypala ve kaydetti,7,kaydetti,B-TASK,KAYDET
CK-1255,temel_bilgisayar,4,dosyya gezginini aç masaüstüne git raporu bul ve aç,0,dosyya,B-TASK,AÇ
CK-1255,temel_bilgisayar,4,dosyya gezginini aç masaüstüne git raporu bul ve aç,1,gezginini,I-TASK,AÇ
CK-1255,temel_bilgisayar,4,dosyya gezginini aç masaüstüne git raporu bul ve aç,2,aç,I-TASK,AÇ
CK-1255,temel_bilgisayar,4,dosyya gezginini aç masaüstüne git raporu bul ve aç,3,masaüstüne,B-TASK,GİT
CK-1255,temel_bilgisayar,4,dosyya gezginini aç masaüstüne git raporu bul ve aç,4,git,I-TASK,GİT
CK-1255,temel_bilgisayar,4,dosyya gezginini aç masaüstüne git raporu bul ve aç,5,raporu,B-TASK,BUL
CK-1255,temel_bilgisayar,4,dosyya gezginini aç masaüstüne git raporu bul ve aç,6,bul,I-TASK,BUL
CK-1255,temel_bilgisayar,4,dosyya gezginini aç masaüstüne git raporu bul ve aç,7,ve,O,O
CK-1255,temel_bilgisayar,4,dosyya gezginini aç masaüstüne git raporu bul ve aç,8,aç,B-TASK,AÇ
CK-1257,tarayıcı_internet,4,tarayıcıyı aç bağlantıyı yapıştr entera bas sayfayı kaydır,0,tarayıcıyı,B-TASK,AÇ
CK-1257,tarayıcı_internet,4,tarayıcıyı aç bağlantıyı yapıştr entera bas sayfayı kaydır,1,aç,I-TASK,AÇ
CK-1257,tarayıcı_internet,4,tarayıcıyı aç bağlantıyı yapıştr entera bas sayfayı kaydır,2,bağlantıyı,B-TASK,YAPIŞTIR
CK-1257,tarayıcı_internet,4,tarayıcıyı aç bağlantıyı yapıştr entera bas sayfayı kaydır,3,yapıştr,I-TASK,YAPIŞTIR
CK-1257,tarayıcı_internet,4,tarayıcıyı aç bağlantıyı yapıştr entera bas sayfayı kaydır,4,entera,B-TASK,ENTER
CK-1257,tarayıcı_internet,4,tarayıcıyı aç bağlantıyı yapıştr entera bas sayfayı kaydır,5,bas,I-TASK,ENTER
CK-1257,tarayıcı_internet,4,tarayıcıyı aç bağlantıyı yapıştr entera bas sayfayı kaydır,6,sayfayı,B-TASK,KAYDIR
CK-1257,tarayıcı_internet,4,tarayıcıyı aç bağlantıyı yapıştr entera bas sayfayı kaydır,7,kaydır,I-TASK,KAYDIR
CK-1259,ofis_metin_düzenleme,3,vörd içinde kaynakçayı bul doi satırını seç koypala,0,vörd,B-TASK,BUL
CK-1259,ofis_metin_düzenleme,3,vörd içinde kaynakçayı bul doi satırını seç koypala,1,içinde,I-TASK,BUL
CK-1259,ofis_metin_düzenleme,3,vörd içinde kaynakçayı bul doi satırını seç koypala,2,kaynakçayı,I-TASK,BUL
CK-1259,ofis_metin_düzenleme,3,vörd içinde kaynakçayı bul doi satırını seç koypala,3,bul,I-TASK,BUL
CK-1259,ofis_metin_düzenleme,3,vörd içinde kaynakçayı bul doi satırını seç koypala,4,doi,B-TASK,SEÇ
CK-1259,ofis_metin_düzenleme,3,vörd içinde kaynakçayı bul doi satırını seç koypala,5,satırını,I-TASK,SEÇ
CK-1259,ofis_metin_düzenleme,3,vörd içinde kaynakçayı bul doi satırını seç koypala,6,seç,I-TASK,SEÇ
CK-1259,ofis_metin_düzenleme,3,vörd içinde kaynakçayı bul doi satırını seç koypala,7,koypala,B-TASK,KOPYALA
CK-1266,tarayıcı_internet,2,dosyayı indir şey yok hedef klasörü seç dosyayı indir,0,dosyayı,O,O
CK-1266,tarayıcı_internet,2,dosyayı indir şey yok hedef klasörü seç dosyayı indir,1,indir,O,O
CK-1266,tarayıcı_internet,2,dosyayı indir şey yok hedef klasörü seç dosyayı indir,2,şey,O,O
CK-1266,tarayıcı_internet,2,dosyayı indir şey yok hedef klasörü seç dosyayı indir,3,yok,O,O
CK-1266,tarayıcı_internet,2,dosyayı indir şey yok hedef klasörü seç dosyayı indir,4,hedef,B-TASK,SEÇ
CK-1266,tarayıcı_internet,2,dosyayı indir şey yok hedef klasörü seç dosyayı indir,5,klasörü,I-TASK,SEÇ
CK-1266,tarayıcı_internet,2,dosyayı indir şey yok hedef klasörü seç dosyayı indir,6,seç,I-TASK,SEÇ
CK-1266,tarayıcı_internet,2,dosyayı indir şey yok hedef klasörü seç dosyayı indir,7,dosyayı,B-TASK,İNDİR
CK-1266,tarayıcı_internet,2,dosyayı indir şey yok hedef klasörü seç dosyayı indir,8,indir,I-TASK,İNDİR
CK-1273,ofis_metin_düzenleme,5,excel aç veri aralığını seç grafik oluştur başlık yaz kaydet,0,excel,B-TASK,AÇ
CK-1273,ofis_metin_düzenleme,5,excel aç veri aralığını seç grafik oluştur başlık yaz kaydet,1,aç,I-TASK,AÇ
CK-1273,ofis_metin_düzenleme,5,excel aç veri aralığını seç grafik oluştur başlık yaz kaydet,2,veri,B-TASK,SEÇ
CK-1273,ofis_metin_düzenleme,5,excel aç veri aralığını seç grafik oluştur başlık yaz kaydet,3,aralığını,I-TASK,SEÇ
CK-1273,ofis_metin_düzenleme,5,excel aç veri aralığını seç grafik oluştur başlık yaz kaydet,4,seç,I-TASK,SEÇ
CK-1273,ofis_metin_düzenleme,5,excel aç veri aralığını seç grafik oluştur başlık yaz kaydet,5,grafik,B-TASK,YENİ_OLUŞTUR
CK-1273,ofis_metin_düzenleme,5,excel aç veri aralığını seç grafik oluştur başlık yaz kaydet,6,oluştur,I-TASK,YENİ_OLUŞTUR
CK-1273,ofis_metin_düzenleme,5,excel aç veri aralığını seç grafik oluştur başlık yaz kaydet,7,başlık,B-TASK,YAZ
CK-1273,ofis_metin_düzenleme,5,excel aç veri aralığını seç grafik oluştur başlık yaz kaydet,8,yaz,I-TASK,YAZ
CK-1273,ofis_metin_düzenleme,5,excel aç veri aralığını seç grafik oluştur başlık yaz kaydet,9,kaydet,B-TASK,KAYDET
CK-1276,tarayıcı_internet,4,pdfyi aç sayfada aşağı in tabloyu bul seç,0,pdfyi,B-TASK,AÇ
CK-1276,tarayıcı_internet,4,pdfyi aç sayfada aşağı in tabloyu bul seç,1,aç,I-TASK,AÇ
CK-1276,tarayıcı_internet,4,pdfyi aç sayfada aşağı in tabloyu bul seç,2,sayfada,B-TASK,KAYDIR
CK-1276,tarayıcı_internet,4,pdfyi aç sayfada aşağı in tabloyu bul seç,3,aşağı,I-TASK,KAYDIR
CK-1276,tarayıcı_internet,4,pdfyi aç sayfada aşağı in tabloyu bul seç,4,in,I-TASK,KAYDIR
CK-1276,tarayıcı_internet,4,pdfyi aç sayfada aşağı in tabloyu bul seç,5,tabloyu,B-TASK,BUL
CK-1276,tarayıcı_internet,4,pdfyi aç sayfada aşağı in tabloyu bul seç,6,bul,I-TASK,BUL
CK-1276,tarayıcı_internet,4,pdfyi aç sayfada aşağı in tabloyu bul seç,7,seç,B-TASK,SEÇ
CK-1280,tarayıcı_internet,4,gelen kutusuna git son maili aç eki indir klasörde göster,0,gelen,B-TASK,GİT
CK-1280,tarayıcı_internet,4,gelen kutusuna git son maili aç eki indir klasörde göster,1,kutusuna,I-TASK,GİT
CK-1280,tarayıcı_internet,4,gelen kutusuna git son maili aç eki indir klasörde göster,2,git,I-TASK,GİT
CK-1280,tarayıcı_internet,4,gelen kutusuna git son maili aç eki indir klasörde göster,3,son,B-TASK,AÇ
CK-1280,tarayıcı_internet,4,gelen kutusuna git son maili aç eki indir klasörde göster,4,maili,I-TASK,AÇ
CK-1280,tarayıcı_internet,4,gelen kutusuna git son maili aç eki indir klasörde göster,5,aç,I-TASK,AÇ
CK-1280,tarayıcı_internet,4,gelen kutusuna git son maili aç eki indir klasörde göster,6,eki,B-TASK,İNDİR
CK-1280,tarayıcı_internet,4,gelen kutusuna git son maili aç eki indir klasörde göster,7,indir,I-TASK,İNDİR
CK-1280,tarayıcı_internet,4,gelen kutusuna git son maili aç eki indir klasörde göster,8,klasörde,B-TASK,TIKLA
CK-1280,tarayıcı_internet,4,gelen kutusuna git son maili aç eki indir klasörde göster,9,göster,I-TASK,TIKLA
CK-1287,temel_bilgisayar,3,ayarları açıp klavye bölümüne giderek tekrar hızını azalt,0,ayarları,B-TASK,AÇ
