id,domain,task_count,raw_command,tokens_json,token_count,annotator_boundary_labels_json,annotator_task_token_labels_json,annotator_note
CK-1231,ofis_metin_düzenleme,3,belgeyi açıp giriş bölümüne giderek ilk paragrafı seç,"[""belgeyi"", ""açıp"", ""giriş"", ""bölümüne"", ""giderek"", ""ilk"", ""paragrafı"", ""seç""]",8,,,
CK-1234,ofis_metin_düzenleme,3,grafiği seçerek küçültüp sağ köşeye taşı,"[""grafiği"", ""seçerek"", ""küçültüp"", ""sağ"", ""köşeye"", ""taşı""]",6,,,
CK-1235,dosya_yazılım_geliştirme,3,terminali açıp test komutunu yazıp entera bas,"[""terminali"", ""açıp"", ""test"", ""komutunu"", ""yazıp"", ""entera"", ""bas""]",7,,,
CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,"[""pdfyi"", ""büyütüp"", ""aşağı"", ""kaydırarak"", ""tabloyu"", ""bul""]",6,,,
CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,"[""çalışma"", ""kitabını"", ""aç"", ""ardından"", ""sonuç"", ""sütununu"", ""seç"", ""ve"", ""formülü"", ""aşağı"", ""kopyala""]",11,,,
CK-1249,dosya_yazılım_geliştirme,3,proje dizinine git ardından config dosyasını aç ve port değerini değiştir,"[""proje"", ""dizinine"", ""git"", ""ardından"", ""config"", ""dosyasını"", ""aç"", ""ve"", ""port"", ""değerini"", ""değiştir""]",11,,,
CK-1251,ofis_metin_düzenleme,4,vörd belgesini aç başlığı seç koypala ve kaydetti,"[""vörd"", ""belgesini"", ""aç"", ""başlığı"", ""seç"", ""koypala"", ""ve"", ""kaydetti""]",8,,,
CK-1255,temel_bilgisayar,4,dosyya gezginini aç masaüstüne git raporu bul ve aç,"[""dosyya"", ""gezginini"", ""aç"", ""masaüstüne"", ""git"", ""raporu"", ""bul"", ""ve"", ""aç""]",9,,,
CK-1257,tarayıcı_internet,4,tarayıcıyı aç bağlantıyı yapıştr entera bas sayfayı kaydır,"[""tarayıcıyı"", ""aç"", ""bağlantıyı"", ""yapıştr"", ""entera"", ""bas"", ""sayfayı"", ""kaydır""]",8,,,
CK-1259,ofis_metin_düzenleme,3,vörd içinde kaynakçayı bul doi satırını seç koypala,"[""vörd"", ""içinde"", ""kaynakçayı"", ""bul"", ""doi"", ""satırını"", ""seç"", ""koypala""]",8,,,
CK-1266,tarayıcı_internet,2,dosyayı indir şey yok hedef klasörü seç dosyayı indir,"[""dosyayı"", ""indir"", ""şey"", ""yok"", ""hedef"", ""klasörü"", ""seç"", ""dosyayı"", ""indir""]",9,,,
CK-1273,ofis_metin_düzenleme,5,excel aç veri aralığını seç grafik oluştur başlık yaz kaydet,"[""excel"", ""aç"", ""veri"", ""aralığını"", ""seç"", ""grafik"", ""oluştur"", ""başlık"", ""yaz"", ""kaydet""]",10,,,
CK-1276,tarayıcı_internet,4,pdfyi aç sayfada aşağı in tabloyu bul seç,"[""pdfyi"", ""aç"", ""sayfada"", ""aşağı"", ""in"", ""tabloyu"", ""bul"", ""seç""]",8,,,
CK-1280,tarayıcı_internet,4,gelen kutusuna git son maili aç eki indir klasörde göster,"[""gelen"", ""kutusuna"", ""git"", ""son"", ""maili"", ""aç"", ""eki"", ""indir"", ""klasörde"", ""göster""]",10,,,
CK-1287,temel_bilgisayar,3,ayarları açıp klavye bölümüne giderek tekrar hızını azalt,"[""ayarları"", ""açıp"", ""klavye"", ""bölümüne"", ""giderek"", ""tekrar"", ""hızını"", ""azalt""]",8,,,
CK-1288,tarayıcı_internet,3,pdfyi büyüterek ikinci sayfaya kaydırıp referansı bul,"[""pdfyi"", ""büyüterek"", ""ikinci"", ""sayfaya"", ""kaydırıp"", ""referansı"", ""bul""]",7,,,
CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,"[""proje"", ""klasörüne"", ""git"", ""ardından"", ""readme"", ""dosyasını"", ""aç"", ""ve"", ""kurulum"", ""bölümünü"", ""bul""]",11,,,
CK-1314,tarayıcı_internet,2,önceki sekmeyi kapat değil önceki sekmeye geç bağlantıyı kopyala,"[""önceki"", ""sekmeyi"", ""kapat"", ""değil"", ""önceki"", ""sekmeye"", ""geç"", ""bağlantıyı"", ""kopyala""]",9,,,
CK-1317,dosya_yazılım_geliştirme,2,terminali kapat yanlış oldu terminal çıktısını bul terminal çıktısını kopyala,"[""terminali"", ""kapat"", ""yanlış"", ""oldu"", ""terminal"", ""çıktısını"", ""bul"", ""terminal"", ""çıktısını"", ""kopyala""]",10,,,
CK-1320,ofis_metin_düzenleme,3,satırı silme dur satırı seç satırı kes başka sayfaya yapıştır,"[""satırı"", ""silme"", ""dur"", ""satırı"", ""seç"", ""satırı"", ""kes"", ""başka"", ""sayfaya"", ""yapıştır""]",10,,,
CK-1323,ofis_metin_düzenleme,4,çalışma kitabını aç puan sütununu seç ortalama yaz enter bas,"[""çalışma"", ""kitabını"", ""aç"", ""puan"", ""sütununu"", ""seç"", ""ortalama"", ""yaz"", ""enter"", ""bas""]",10,,,
CK-1326,tarayıcı_internet,4,web sayfasını aç aşağı in tabloyu bul satırı kopyala,"[""web"", ""sayfasını"", ""aç"", ""aşağı"", ""in"", ""tabloyu"", ""bul"", ""satırı"", ""kopyala""]",9,,,
CK-1333,temel_bilgisayar,3,dosyayı indirip adı değiştirerek arşiv klasörüne taşı,"[""dosyayı"", ""indirip"", ""adı"", ""değiştirerek"", ""arşiv"", ""klasörüne"", ""taşı""]",7,,,
CK-1334,ofis_metin_düzenleme,3,slayttaki simgeyi seçip büyüterek üst köşeye taşı,"[""slayttaki"", ""simgeyi"", ""seçip"", ""büyüterek"", ""üst"", ""köşeye"", ""taşı""]",7,,,
CK-1340,ofis_metin_düzenleme,3,açık yorumu seçip değiştirerek gönder düğmesine bas,"[""açık"", ""yorumu"", ""seçip"", ""değiştirerek"", ""gönder"", ""düğmesine"", ""bas""]",7,,,
CK-1344,dosya_yazılım_geliştirme,3,hadi terminale geç bi derleme komutunu yaz entera bas,"[""hadi"", ""terminale"", ""geç"", ""bi"", ""derleme"", ""komutunu"", ""yaz"", ""entera"", ""bas""]",9,,,
CK-1347,tarayıcı_internet,3,site haritasını aç ardından yardım bağlantısını bul ve bağlantıya tıkla,"[""site"", ""haritasını"", ""aç"", ""ardından"", ""yardım"", ""bağlantısını"", ""bul"", ""ve"", ""bağlantıya"", ""tıkla""]",10,,,
CK-1350,ofis_metin_düzenleme,3,sunum görünümünü aç ardından konuşmacı notlarına geç ve süre bilgisini yaz,"[""sunum"", ""görünümünü"", ""aç"", ""ardından"", ""konuşmacı"", ""notlarına"", ""geç"", ""ve"", ""süre"", ""bilgisini"", ""yaz""]",11,,,
CK-1351,ofis_metin_düzenleme,4,vördü aç ikinci paragrafı bul seç koypala,"[""vördü"", ""aç"", ""ikinci"", ""paragrafı"", ""bul"", ""seç"", ""koypala""]",7,,,
CK-1368,ofis_metin_düzenleme,2,resmi sola taşı öyle değil resmi sağ üste taşı resmi küçült,"[""resmi"", ""sola"", ""taşı"", ""öyle"", ""değil"", ""resmi"", ""sağ"", ""üste"", ""taşı"", ""resmi"", ""küçült""]",11,,,
CK-1374,dosya_yazılım_geliştirme,5,terminal aç pytest yaz enter bas hatayı bul kopyala,"[""terminal"", ""aç"", ""pytest"", ""yaz"", ""enter"", ""bas"", ""hatayı"", ""bul"", ""kopyala""]",9,,,
CK-1376,tarayıcı_internet,4,web formunu aç ad alanını seç ad yaz sonraki alana geç,"[""web"", ""formunu"", ""aç"", ""ad"", ""alanını"", ""seç"", ""ad"", ""yaz"", ""sonraki"", ""alana"", ""geç""]",11,,,
CK-1391,temel_bilgisayar,2,ya bi şu pencereyi büyüt sonra sağa al,"[""ya"", ""bi"", ""şu"", ""pencereyi"", ""büyüt"", ""sonra"", ""sağa"", ""al""]",8,,,
CK-1393,ofis_metin_düzenleme,3,ııı tabloyu seç biraz küçült kaydet hadi,"[""ııı"", ""tabloyu"", ""seç"", ""biraz"", ""küçült"", ""kaydet"", ""hadi""]",7,,,
CK-1396,temel_bilgisayar,3,erişilebilirlik panelini aç ardından kontrast temalarına git ve yüksek kontrastı seç,"[""erişilebilirlik"", ""panelini"", ""aç"", ""ardından"", ""kontrast"", ""temalarına"", ""git"", ""ve"", ""yüksek"", ""kontrastı"", ""seç""]",11,,,
CK-1410,tarayıcı_internet,3,gogıl formu aç dosyya yükle düğmesine tıkla gönder,"[""gogıl"", ""formu"", ""aç"", ""dosyya"", ""yükle"", ""düğmesine"", ""tıkla"", ""gönder""]",8,,,
CK-1420,temel_bilgisayar,3,dosyya yolunu seç koypala çalıştır penceresine yapıştr,"[""dosyya"", ""yolunu"", ""seç"", ""koypala"", ""çalıştır"", ""penceresine"", ""yapıştr""]",7,,,
CK-1422,tarayıcı_internet,2,maili gönder dur maili gönderme eki yükle maili gönder,"[""maili"", ""gönder"", ""dur"", ""maili"", ""gönderme"", ""eki"", ""yükle"", ""maili"", ""gönder""]",9,,,
CK-1425,dosya_yazılım_geliştirme,2,kod satırını kes vazgeç kod satırını kopyala yeni dosyaya yapıştır,"[""kod"", ""satırını"", ""kes"", ""vazgeç"", ""kod"", ""satırını"", ""kopyala"", ""yeni"", ""dosyaya"", ""yapıştır""]",10,,,
CK-1426,tarayıcı_internet,2,pdfyi indir şey yok hedef klasörü seç pdfyi indir,"[""pdfyi"", ""indir"", ""şey"", ""yok"", ""hedef"", ""klasörü"", ""seç"", ""pdfyi"", ""indir""]",9,,,
CK-1429,temel_bilgisayar,2,programı kaldırma dur programı seç güncelle düğmesine tıkla,"[""programı"", ""kaldırma"", ""dur"", ""programı"", ""seç"", ""güncelle"", ""düğmesine"", ""tıkla""]",8,,,
CK-1431,temel_bilgisayar,2,klasörü açma yok hayır klasörü seç klasörü yeniden adlandır,"[""klasörü"", ""açma"", ""yok"", ""hayır"", ""klasörü"", ""seç"", ""klasörü"", ""yeniden"", ""adlandır""]",9,,,
CK-1432,tarayıcı_internet,2,arama isteğini gönder dur sorguyu değiştir arama isteğini gönder,"[""arama"", ""isteğini"", ""gönder"", ""dur"", ""sorguyu"", ""değiştir"", ""arama"", ""isteğini"", ""gönder""]",9,,,
CK-1433,ofis_metin_düzenleme,2,slaytı sil yok hayır slaytı seç slaytı çoğalt,"[""slaytı"", ""sil"", ""yok"", ""hayır"", ""slaytı"", ""seç"", ""slaytı"", ""çoğalt""]",8,,,
CK-1434,dosya_yazılım_geliştirme,2,scripti çalıştırma dur script dosyasını aç script satırını bul,"[""scripti"", ""çalıştırma"", ""dur"", ""script"", ""dosyasını"", ""aç"", ""script"", ""satırını"", ""bul""]",9,,,
CK-1437,tarayıcı_internet,2,mesajı silme dur mesajı seç mesajı arşive taşı,"[""mesajı"", ""silme"", ""dur"", ""mesajı"", ""seç"", ""mesajı"", ""arşive"", ""taşı""]",8,,,
CK-1440,tarayıcı_internet,2,son maili açma şey yok gelen kutusuna git son maili seç,"[""son"", ""maili"", ""açma"", ""şey"", ""yok"", ""gelen"", ""kutusuna"", ""git"", ""son"", ""maili"", ""seç""]",11,,,
CK-1448,dosya_yazılım_geliştirme,4,repo klasörüne git changelog dosyasını bul aç sürüm yaz,"[""repo"", ""klasörüne"", ""git"", ""changelog"", ""dosyasını"", ""bul"", ""aç"", ""sürüm"", ""yaz""]",9,,,
CK-1451,temel_bilgisayar,4,masaüstüne geç klasörü bul aç dosyayı seç,"[""masaüstüne"", ""geç"", ""klasörü"", ""bul"", ""aç"", ""dosyayı"", ""seç""]",7,,,
CK-1452,tarayıcı_internet,4,sayfayı aç aşağı in tabloyu bul satırı kopyala,"[""sayfayı"", ""aç"", ""aşağı"", ""in"", ""tabloyu"", ""bul"", ""satırı"", ""kopyala""]",8,,,
CK-1457,ofis_metin_düzenleme,4,excel aç filtreyi aç boşları seç uygula,"[""excel"", ""aç"", ""filtreyi"", ""aç"", ""boşları"", ""seç"", ""uygula""]",7,,,
CK-1463,temel_bilgisayar,3,klasörü açıp raporu bularak masaüstüne kopyala,"[""klasörü"", ""açıp"", ""raporu"", ""bularak"", ""masaüstüne"", ""kopyala""]",6,,,
CK-1472,tarayıcı_internet,3,site menüsünü açarak duyurular bağlantısını bulup tıkla,"[""site"", ""menüsünü"", ""açarak"", ""duyurular"", ""bağlantısını"", ""bulup"", ""tıkla""]",7,,,
CK-1473,temel_bilgisayar,3,dosyayı seçip keserek yedek klasörüne yapıştır,"[""dosyayı"", ""seçip"", ""keserek"", ""yedek"", ""klasörüne"", ""yapıştır""]",6,,,
CK-1477,temel_bilgisayar,3,indirilen dosyayı bulup seçerek masaüstüne taşı,"[""indirilen"", ""dosyayı"", ""bulup"", ""seçerek"", ""masaüstüne"", ""taşı""]",6,,,
CK-1481,temel_bilgisayar,2,ya bi şu pencereyi küçült sonra görev çubuğuna dön,"[""ya"", ""bi"", ""şu"", ""pencereyi"", ""küçült"", ""sonra"", ""görev"", ""çubuğuna"", ""dön""]",9,,,
CK-1491,temel_bilgisayar,3,erişilebilirlik seçeneklerini aç ardından ekran okuyucu bölümüne git ve anlatıcıyı kapat,"[""erişilebilirlik"", ""seçeneklerini"", ""aç"", ""ardından"", ""ekran"", ""okuyucu"", ""bölümüne"", ""git"", ""ve"", ""anlatıcıyı"", ""kapat""]",11,,,
CK-1492,tarayıcı_internet,3,site izinlerini aç ardından kamera iznini bul ve izni kapat,"[""site"", ""izinlerini"", ""aç"", ""ardından"", ""kamera"", ""iznini"", ""bul"", ""ve"", ""izni"", ""kapat""]",10,,,
CK-1493,ofis_metin_düzenleme,3,çalışma sayfasını aç ardından not sütununu seç ve açıklama yaz,"[""çalışma"", ""sayfasını"", ""aç"", ""ardından"", ""not"", ""sütununu"", ""seç"", ""ve"", ""açıklama"", ""yaz""]",10,,,
CK-1502,tarayıcı_internet,3,gogıl aç adres alanına engelli bilgisayar kullanımı yaz ara,"[""gogıl"", ""aç"", ""adres"", ""alanına"", ""engelli"", ""bilgisayar"", ""kullanımı"", ""yaz"", ""ara""]",9,,,
CK-1503,ofis_metin_düzenleme,4,eksıl dosyasını aç f dokuz hücresini seç değer yaz entera bas,"[""eksıl"", ""dosyasını"", ""aç"", ""f"", ""dokuz"", ""hücresini"", ""seç"", ""değer"", ""yaz"", ""entera"", ""bas""]",11,,,
CK-1504,ofis_metin_düzenleme,3,pavırpoynt sunumunu aç grafik slaytını bul görseli küçült,"[""pavırpoynt"", ""sunumunu"", ""aç"", ""grafik"", ""slaytını"", ""bul"", ""görseli"", ""küçült""]",8,,,
CK-1507,tarayıcı_internet,3,tarayıcıda bağlantıyı yapıştr entıra bas çerez uyarısını kapat,"[""tarayıcıda"", ""bağlantıyı"", ""yapıştr"", ""entıra"", ""bas"", ""çerez"", ""uyarısını"", ""kapat""]",8,,,
CK-1511,ofis_metin_düzenleme,3,eksıl sayfasında ortalamayı bul değeri koypala rapora yapıştr,"[""eksıl"", ""sayfasında"", ""ortalamayı"", ""bul"", ""değeri"", ""koypala"", ""rapora"", ""yapıştr""]",8,,,
CK-1515,temel_bilgisayar,3,dosyya aramasına sunum yaz entera bas sonucu aç,"[""dosyya"", ""aramasına"", ""sunum"", ""yaz"", ""entera"", ""bas"", ""sonucu"", ""aç""]",8,,,
CK-1525,dosya_yazılım_geliştirme,2,kod parçasını kes vazgeç kod parçasını kopyala not dosyasına yapıştır,"[""kod"", ""parçasını"", ""kes"", ""vazgeç"", ""kod"", ""parçasını"", ""kopyala"", ""not"", ""dosyasına"", ""yapıştır""]",10,,,
CK-1526,tarayıcı_internet,2,dosyayı indir şey yok dosya konumunu seç dosyayı indir,"[""dosyayı"", ""indir"", ""şey"", ""yok"", ""dosya"", ""konumunu"", ""seç"", ""dosyayı"", ""indir""]",9,,,
CK-1528,ofis_metin_düzenleme,2,grafiği sola taşı öyle değil grafiği alta taşı grafiği kaydet,"[""grafiği"", ""sola"", ""taşı"", ""öyle"", ""değil"", ""grafiği"", ""alta"", ""taşı"", ""grafiği"", ""kaydet""]",10,,,
CK-1529,temel_bilgisayar,2,uygulamayı kaldırma dur uygulamayı seç onar seçeneğine tıkla,"[""uygulamayı"", ""kaldırma"", ""dur"", ""uygulamayı"", ""seç"", ""onar"", ""seçeneğine"", ""tıkla""]",8,,,
CK-1532,tarayıcı_internet,2,arama isteğini gönder dur sorguyu düzelt arama isteğini gönder,"[""arama"", ""isteğini"", ""gönder"", ""dur"", ""sorguyu"", ""düzelt"", ""arama"", ""isteğini"", ""gönder""]",9,,,
CK-1554,dosya_yazılım_geliştirme,4,debug panelini aç uyarıyı bul seç rapora yapıştır,"[""debug"", ""panelini"", ""aç"", ""uyarıyı"", ""bul"", ""seç"", ""rapora"", ""yapıştır""]",8,,,
CK-1555,temel_bilgisayar,4,bluetooth ayarını aç cihaz listesini kaydır kulaklığı bul seç,"[""bluetooth"", ""ayarını"", ""aç"", ""cihaz"", ""listesini"", ""kaydır"", ""kulaklığı"", ""bul"", ""seç""]",9,,,
CK-1559,temel_bilgisayar,4,yazıcı panelini aç kuyruğu bul işi seç sil,"[""yazıcı"", ""panelini"", ""aç"", ""kuyruğu"", ""bul"", ""işi"", ""seç"", ""sil""]",8,,,
CK-1560,tarayıcı_internet,4,postaya git yeni ileti oluştur alıcı yaz gönder,"[""postaya"", ""git"", ""yeni"", ""ileti"", ""oluştur"", ""alıcı"", ""yaz"", ""gönder""]",8,,,
CK-1570,ofis_metin_düzenleme,3,açık notu seçip değiştirerek kaydet düğmesine bas,"[""açık"", ""notu"", ""seçip"", ""değiştirerek"", ""kaydet"", ""düğmesine"", ""bas""]",7,,,
CK-1574,ofis_metin_düzenleme,3,slaytı seçerek çoğaltıp en başa taşı,"[""slaytı"", ""seçerek"", ""çoğaltıp"", ""en"", ""başa"", ""taşı""]",6,,,
CK-1583,ofis_metin_düzenleme,3,ııı grafiği seç biraz küçült kaydet hadi,"[""ııı"", ""grafiği"", ""seç"", ""biraz"", ""küçült"", ""kaydet"", ""hadi""]",7,,,
CK-1586,temel_bilgisayar,2,bi şuradaki raporu bul lütfen aç hemen,"[""bi"", ""şuradaki"", ""raporu"", ""bul"", ""lütfen"", ""aç"", ""hemen""]",7,,,
CK-1588,dosya_yazılım_geliştirme,3,hadi terminale geç şu uzun komutu yapıştır entera bas,"[""hadi"", ""terminale"", ""geç"", ""şu"", ""uzun"", ""komutu"", ""yapıştır"", ""entera"", ""bas""]",9,,,
CK-1589,tarayıcı_internet,2,ya bi önceki sekmeye geçip şu onay kutusuna tıkla,"[""ya"", ""bi"", ""önceki"", ""sekmeye"", ""geçip"", ""şu"", ""onay"", ""kutusuna"", ""tıkla""]",9,,,
CK-1592,tarayıcı_internet,3,site izinlerini aç ardından konum iznini bul ve izni kapat,"[""site"", ""izinlerini"", ""aç"", ""ardından"", ""konum"", ""iznini"", ""bul"", ""ve"", ""izni"", ""kapat""]",10,,,
CK-1594,dosya_yazılım_geliştirme,3,kaynak kontrol panelini aç ardından bekleyen dosyaları seç ve commit mesajı yaz,"[""kaynak"", ""kontrol"", ""panelini"", ""aç"", ""ardından"", ""bekleyen"", ""dosyaları"", ""seç"", ""ve"", ""commit"", ""mesajı"", ""yaz""]",12,,,
CK-1596,tarayıcı_internet,3,indirilenler panelini aç ardından son dosyayı seç ve dosya yolunu kopyala,"[""indirilenler"", ""panelini"", ""aç"", ""ardından"", ""son"", ""dosyayı"", ""seç"", ""ve"", ""dosya"", ""yolunu"", ""kopyala""]",11,,,
CK-1606,dosya_yazılım_geliştirme,3,temrinalde gıt pull yaz entıra bas çıktıyı koypala,"[""temrinalde"", ""gıt"", ""pull"", ""yaz"", ""entıra"", ""bas"", ""çıktıyı"", ""koypala""]",8,,,
CK-1609,temel_bilgisayar,3,dosyya paylaşımını aç bağlantı oluştur koypala,"[""dosyya"", ""paylaşımını"", ""aç"", ""bağlantı"", ""oluştur"", ""koypala""]",6,,,
CK-1617,ofis_metin_düzenleme,3,eksıl satırını kes yeni sayfaya yapıştr kaydetti,"[""eksıl"", ""satırını"", ""kes"", ""yeni"", ""sayfaya"", ""yapıştr"", ""kaydetti""]",7,,,
CK-1619,tarayıcı_internet,3,gogıl takvim aç etkinliği bul katıl düğmesine tıkla,"[""gogıl"", ""takvim"", ""aç"", ""etkinliği"", ""bul"", ""katıl"", ""düğmesine"", ""tıkla""]",8,,,
CK-1622,temel_bilgisayar,2,klasörü paylaş dur paylaşma klasörü sıkıştır masaüstüne taşı,"[""klasörü"", ""paylaş"", ""dur"", ""paylaşma"", ""klasörü"", ""sıkıştır"", ""masaüstüne"", ""taşı""]",8,,,
CK-1624,dosya_yazılım_geliştirme,2,deploy et vazgeç terminale geç logları bul,"[""deploy"", ""et"", ""vazgeç"", ""terminale"", ""geç"", ""logları"", ""bul""]",7,,,
CK-1626,temel_bilgisayar,2,paylaşım bağlantısını sil değil bağlantıyı seç erişimi değiştir,"[""paylaşım"", ""bağlantısını"", ""sil"", ""değil"", ""bağlantıyı"", ""seç"", ""erişimi"", ""değiştir""]",8,,,
CK-1629,temel_bilgisayar,2,dosya adını taslak yapma hayır dosya adını onaylı yap kaydet,"[""dosya"", ""adını"", ""taslak"", ""yapma"", ""hayır"", ""dosya"", ""adını"", ""onaylı"", ""yap"", ""kaydet""]",10,,,
CK-1632,ofis_metin_düzenleme,2,görseli yazdırma dur görseli seç parlaklığını artır,"[""görseli"", ""yazdırma"", ""dur"", ""görseli"", ""seç"", ""parlaklığını"", ""artır""]",7,,,
CK-1640,tarayıcı_internet,2,sayfayı indirme vazgeç sayfanın üstüne çık arama kutusuna tıkla,"[""sayfayı"", ""indirme"", ""vazgeç"", ""sayfanın"", ""üstüne"", ""çık"", ""arama"", ""kutusuna"", ""tıkla""]",9,,,
CK-1641,temel_bilgisayar,4,büyüteci aç odak alanını seç yakınlaştır kapat,"[""büyüteci"", ""aç"", ""odak"", ""alanını"", ""seç"", ""yakınlaştır"", ""kapat""]",7,,,
CK-1643,ofis_metin_düzenleme,4,satış tablosunu aç bölge filtresini seç uygula yazdır,"[""satış"", ""tablosunu"", ""aç"", ""bölge"", ""filtresini"", ""seç"", ""uygula"", ""yazdır""]",8,,,
CK-1647,ofis_metin_düzenleme,3,dipnot listesini aç beşinci dipnotu seç kes,"[""dipnot"", ""listesini"", ""aç"", ""beşinci"", ""dipnotu"", ""seç"", ""kes""]",7,,,
CK-1654,tarayıcı_internet,2,indirme uyarısını bul yine de indir düğmesine tıkla,"[""indirme"", ""uyarısını"", ""bul"", ""yine"", ""de"", ""indir"", ""düğmesine"", ""tıkla""]",8,,,
CK-1658,tarayıcı_internet,3,adres satırını seç gizli mod yaz enter bas,"[""adres"", ""satırını"", ""seç"", ""gizli"", ""mod"", ""yaz"", ""enter"", ""bas""]",8,,,
CK-1663,ofis_metin_düzenleme,3,grafik başlığını seçip silerek yeni başlık yaz,"[""grafik"", ""başlığını"", ""seçip"", ""silerek"", ""yeni"", ""başlık"", ""yaz""]",7,,,
CK-1665,temel_bilgisayar,3,büyüteci açıp imleç alanına odaklanarak yakınlaştır,"[""büyüteci"", ""açıp"", ""imleç"", ""alanına"", ""odaklanarak"", ""yakınlaştır""]",6,,,
CK-1671,ofis_metin_düzenleme,3,başlık kutusunu seçip ortaya taşıyarak büyüt,"[""başlık"", ""kutusunu"", ""seçip"", ""ortaya"", ""taşıyarak"", ""büyüt""]",6,,,
CK-1673,temel_bilgisayar,3,ses panelini açarak çıkış cihazını seçip sesi azalt,"[""ses"", ""panelini"", ""açarak"", ""çıkış"", ""cihazını"", ""seçip"", ""sesi"", ""azalt""]",8,,,
CK-1674,tarayıcı_internet,3,web formunu doldurup dosya ekleyerek gönder,"[""web"", ""formunu"", ""doldurup"", ""dosya"", ""ekleyerek"", ""gönder""]",6,,,
CK-1677,temel_bilgisayar,3,ekran görüntüsünü seçip kırparak panoya kopyala,"[""ekran"", ""görüntüsünü"", ""seçip"", ""kırparak"", ""panoya"", ""kopyala""]",6,,,
CK-1678,tarayıcı_internet,3,video sekmesine geçip kalite menüsünü açarak düşük seç,"[""video"", ""sekmesine"", ""geçip"", ""kalite"", ""menüsünü"", ""açarak"", ""düşük"", ""seç""]",8,,,
CK-1679,ofis_metin_düzenleme,3,denklem satırını bulup seçerek yeni formül yaz,"[""denklem"", ""satırını"", ""bulup"", ""seçerek"", ""yeni"", ""formül"", ""yaz""]",7,,,
CK-1698,dosya_yazılım_geliştirme,2,sürüm kontrol görünümünü aç ardından yeni etiket oluştur,"[""sürüm"", ""kontrol"", ""görünümünü"", ""aç"", ""ardından"", ""yeni"", ""etiket"", ""oluştur""]",8,,,
CK-1701,ofis_metin_düzenleme,3,vördde değişiklik izini aç kabul edilenleri bul kaydetti,"[""vördde"", ""değişiklik"", ""izini"", ""aç"", ""kabul"", ""edilenleri"", ""bul"", ""kaydetti""]",8,,,
CK-1703,ofis_metin_düzenleme,3,eksıl grafikte eksen yazısını seç küçült kaydetti,"[""eksıl"", ""grafikte"", ""eksen"", ""yazısını"", ""seç"", ""küçült"", ""kaydetti""]",7,,,
CK-1713,dosya_yazılım_geliştirme,2,temrinal çıktısında warning ara satırı koypala,"[""temrinal"", ""çıktısında"", ""warning"", ""ara"", ""satırı"", ""koypala""]",6,,,
