model,id,domain,task_count,raw_command,token_index,token,gold_boundary,pred_boundary,gold_task,pred_task,boundary_correct,task_correct,both_correct,normalized
Gemini,CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,1,aç,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,2,son,B-TASK,B-TASK,GEÇ,GEÇ,True,True,True,False
Gemini,CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,3,slayta,I-TASK,I-TASK,GEÇ,GEÇ,True,True,True,False
Gemini,CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,4,geç,I-TASK,I-TASK,GEÇ,GEÇ,True,True,True,False
Gemini,CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,5,not,B-TASK,B-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,6,alanını,I-TASK,I-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,7,seç,I-TASK,I-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,8,açıklama,B-TASK,B-TASK,YAZ,YAZ,True,True,True,False
Gemini,CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,9,yaz,I-TASK,I-TASK,YAZ,YAZ,True,True,True,False
Gemini,CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,0,src,B-TASK,B-TASK,GİT,GİT,True,True,True,False
Gemini,CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,1,klasörüne,I-TASK,I-TASK,GİT,GİT,True,True,True,False
Gemini,CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,2,git,I-TASK,I-TASK,GİT,GİT,True,True,True,False
Gemini,CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,3,api,B-TASK,B-TASK,BUL,BUL,True,True,True,False
Gemini,CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,4,dosyasını,I-TASK,I-TASK,BUL,BUL,True,True,True,False
Gemini,CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,5,bul,I-TASK,I-TASK,BUL,BUL,True,True,True,False
Gemini,CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,6,aç,B-TASK,B-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,7,endpoint,B-TASK,B-TASK,DEĞİŞTİR,DEĞİŞTİR,True,True,True,False
Gemini,CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,8,değiştir,I-TASK,I-TASK,DEĞİŞTİR,DEĞİŞTİR,True,True,True,False
Gemini,CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,0,arama,B-TASK,B-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,1,panelini,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,2,aç,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,3,yazıcı,B-TASK,B-TASK,YAZ,YAZ,True,True,True,False
Gemini,CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,4,yaz,I-TASK,I-TASK,YAZ,YAZ,True,True,True,False
Gemini,CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,5,sonucu,B-TASK,B-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,6,aç,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,7,test,B-TASK,B-TASK,YAZDIR,YAZDIR,True,True,True,False
Gemini,CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,8,sayfası,I-TASK,I-TASK,YAZDIR,YAZDIR,True,True,True,False
Gemini,CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,9,yazdır,I-TASK,I-TASK,YAZDIR,YAZDIR,True,True,True,False
Gemini,CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,0,pdfyi,B-TASK,B-TASK,BÜYÜT,BÜYÜT,True,True,True,False
Gemini,CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,1,büyütüp,I-TASK,I-TASK,BÜYÜT,BÜYÜT,True,True,True,False
Gemini,CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,2,aşağı,B-TASK,B-TASK,KAYDIR,KAYDIR,True,True,True,False
Gemini,CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,3,kaydırarak,I-TASK,I-TASK,KAYDIR,KAYDIR,True,True,True,False
Gemini,CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,4,tabloyu,B-TASK,B-TASK,BUL,BUL,True,True,True,False
Gemini,CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,5,bul,I-TASK,I-TASK,BUL,BUL,True,True,True,False
Gemini,CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,0,çalışma,B-TASK,B-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,1,kitabını,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,2,aç,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,3,ardından,O,O,O,O,True,True,True,False
Gemini,CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,4,sonuç,B-TASK,B-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,5,sütununu,I-TASK,I-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,6,seç,I-TASK,I-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,7,ve,O,O,O,O,True,True,True,False
Gemini,CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,8,formülü,B-TASK,B-TASK,KOPYALA,KOPYALA,True,True,True,False
Gemini,CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,9,aşağı,I-TASK,I-TASK,KOPYALA,KOPYALA,True,True,True,False
Gemini,CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,10,kopyala,I-TASK,I-TASK,KOPYALA,KOPYALA,True,True,True,False
Gemini,CK-1287,temel_bilgisayar,3,ayarları açıp klavye bölümüne giderek tekrar hızını azalt,0,ayarları,B-TASK,B-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1287,temel_bilgisayar,3,ayarları açıp klavye bölümüne giderek tekrar hızını azalt,1,açıp,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1287,temel_bilgisayar,3,ayarları açıp klavye bölümüne giderek tekrar hızını azalt,2,klavye,B-TASK,B-TASK,GİT,GİT,True,True,True,False
Gemini,CK-1287,temel_bilgisayar,3,ayarları açıp klavye bölümüne giderek tekrar hızını azalt,3,bölümüne,I-TASK,I-TASK,GİT,GİT,True,True,True,False
Gemini,CK-1287,temel_bilgisayar,3,ayarları açıp klavye bölümüne giderek tekrar hızını azalt,4,giderek,I-TASK,I-TASK,GİT,GİT,True,True,True,False
Gemini,CK-1287,temel_bilgisayar,3,ayarları açıp klavye bölümüne giderek tekrar hızını azalt,5,tekrar,B-TASK,B-TASK,AZALT,AZALT,True,True,True,False
Gemini,CK-1287,temel_bilgisayar,3,ayarları açıp klavye bölümüne giderek tekrar hızını azalt,6,hızını,I-TASK,I-TASK,AZALT,AZALT,True,True,True,False
Gemini,CK-1287,temel_bilgisayar,3,ayarları açıp klavye bölümüne giderek tekrar hızını azalt,7,azalt,I-TASK,I-TASK,AZALT,AZALT,True,True,True,False
Gemini,CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,0,proje,B-TASK,B-TASK,GİT,GİT,True,True,True,False
Gemini,CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,1,klasörüne,I-TASK,I-TASK,GİT,GİT,True,True,True,False
Gemini,CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,2,git,I-TASK,I-TASK,GİT,GİT,True,True,True,False
Gemini,CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,3,ardından,O,O,O,O,True,True,True,False
Gemini,CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,4,readme,B-TASK,B-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,5,dosyasını,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,6,aç,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,7,ve,O,O,O,O,True,True,True,False
Gemini,CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,8,kurulum,B-TASK,B-TASK,BUL,BUL,True,True,True,False
Gemini,CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,9,bölümünü,I-TASK,I-TASK,BUL,BUL,True,True,True,False
Gemini,CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,10,bul,I-TASK,I-TASK,BUL,BUL,True,True,True,False
Gemini,CK-1314,tarayıcı_internet,2,önceki sekmeyi kapat değil önceki sekmeye geç bağlantıyı kopyala,0,önceki,O,O,O,O,True,True,True,False
Gemini,CK-1314,tarayıcı_internet,2,önceki sekmeyi kapat değil önceki sekmeye geç bağlantıyı kopyala,1,sekmeyi,O,O,O,O,True,True,True,False
Gemini,CK-1314,tarayıcı_internet,2,önceki sekmeyi kapat değil önceki sekmeye geç bağlantıyı kopyala,2,kapat,O,O,O,O,True,True,True,False
Gemini,CK-1314,tarayıcı_internet,2,önceki sekmeyi kapat değil önceki sekmeye geç bağlantıyı kopyala,3,değil,O,O,O,O,True,True,True,False
Gemini,CK-1314,tarayıcı_internet,2,önceki sekmeyi kapat değil önceki sekmeye geç bağlantıyı kopyala,4,önceki,B-TASK,B-TASK,SEKME_DEĞİŞTİR,GEÇ,True,False,False,False
Gemini,CK-1314,tarayıcı_internet,2,önceki sekmeyi kapat değil önceki sekmeye geç bağlantıyı kopyala,5,sekmeye,I-TASK,I-TASK,SEKME_DEĞİŞTİR,GEÇ,True,False,False,False
Gemini,CK-1314,tarayıcı_internet,2,önceki sekmeyi kapat değil önceki sekmeye geç bağlantıyı kopyala,6,geç,I-TASK,I-TASK,SEKME_DEĞİŞTİR,GEÇ,True,False,False,False
Gemini,CK-1314,tarayıcı_internet,2,önceki sekmeyi kapat değil önceki sekmeye geç bağlantıyı kopyala,7,bağlantıyı,B-TASK,B-TASK,KOPYALA,KOPYALA,True,True,True,False
Gemini,CK-1314,tarayıcı_internet,2,önceki sekmeyi kapat değil önceki sekmeye geç bağlantıyı kopyala,8,kopyala,I-TASK,I-TASK,KOPYALA,KOPYALA,True,True,True,False
Gemini,CK-1320,ofis_metin_düzenleme,3,satırı silme dur satırı seç satırı kes başka sayfaya yapıştır,0,satırı,O,O,O,O,True,True,True,False
Gemini,CK-1320,ofis_metin_düzenleme,3,satırı silme dur satırı seç satırı kes başka sayfaya yapıştır,1,silme,O,O,O,O,True,True,True,False
Gemini,CK-1320,ofis_metin_düzenleme,3,satırı silme dur satırı seç satırı kes başka sayfaya yapıştır,2,dur,O,O,O,O,True,True,True,False
Gemini,CK-1320,ofis_metin_düzenleme,3,satırı silme dur satırı seç satırı kes başka sayfaya yapıştır,3,satırı,B-TASK,B-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1320,ofis_metin_düzenleme,3,satırı silme dur satırı seç satırı kes başka sayfaya yapıştır,4,seç,I-TASK,I-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1320,ofis_metin_düzenleme,3,satırı silme dur satırı seç satırı kes başka sayfaya yapıştır,5,satırı,B-TASK,B-TASK,KES,KES,True,True,True,False
Gemini,CK-1320,ofis_metin_düzenleme,3,satırı silme dur satırı seç satırı kes başka sayfaya yapıştır,6,kes,I-TASK,I-TASK,KES,KES,True,True,True,False
Gemini,CK-1320,ofis_metin_düzenleme,3,satırı silme dur satırı seç satırı kes başka sayfaya yapıştır,7,başka,B-TASK,B-TASK,YAPIŞTIR,YAPIŞTIR,True,True,True,False
Gemini,CK-1320,ofis_metin_düzenleme,3,satırı silme dur satırı seç satırı kes başka sayfaya yapıştır,8,sayfaya,I-TASK,I-TASK,YAPIŞTIR,YAPIŞTIR,True,True,True,False
Gemini,CK-1320,ofis_metin_düzenleme,3,satırı silme dur satırı seç satırı kes başka sayfaya yapıştır,9,yapıştır,I-TASK,I-TASK,YAPIŞTIR,YAPIŞTIR,True,True,True,False
Gemini,CK-1323,ofis_metin_düzenleme,4,çalışma kitabını aç puan sütununu seç ortalama yaz enter bas,0,çalışma,B-TASK,B-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1323,ofis_metin_düzenleme,4,çalışma kitabını aç puan sütununu seç ortalama yaz enter bas,1,kitabını,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1323,ofis_metin_düzenleme,4,çalışma kitabını aç puan sütununu seç ortalama yaz enter bas,2,aç,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1323,ofis_metin_düzenleme,4,çalışma kitabını aç puan sütununu seç ortalama yaz enter bas,3,puan,B-TASK,B-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1323,ofis_metin_düzenleme,4,çalışma kitabını aç puan sütununu seç ortalama yaz enter bas,4,sütununu,I-TASK,I-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1323,ofis_metin_düzenleme,4,çalışma kitabını aç puan sütununu seç ortalama yaz enter bas,5,seç,I-TASK,I-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1323,ofis_metin_düzenleme,4,çalışma kitabını aç puan sütununu seç ortalama yaz enter bas,6,ortalama,B-TASK,B-TASK,YAZ,YAZ,True,True,True,False
Gemini,CK-1323,ofis_metin_düzenleme,4,çalışma kitabını aç puan sütununu seç ortalama yaz enter bas,7,yaz,I-TASK,I-TASK,YAZ,YAZ,True,True,True,False
Gemini,CK-1323,ofis_metin_düzenleme,4,çalışma kitabını aç puan sütununu seç ortalama yaz enter bas,8,enter,B-TASK,B-TASK,ENTER,ENTER,True,True,True,False
Gemini,CK-1323,ofis_metin_düzenleme,4,çalışma kitabını aç puan sütununu seç ortalama yaz enter bas,9,bas,I-TASK,I-TASK,ENTER,ENTER,True,True,True,False
Gemini,CK-1333,temel_bilgisayar,3,dosyayı indirip adı değiştirerek arşiv klasörüne taşı,0,dosyayı,B-TASK,B-TASK,İNDİR,İNDİR,True,True,True,False
Gemini,CK-1333,temel_bilgisayar,3,dosyayı indirip adı değiştirerek arşiv klasörüne taşı,1,indirip,I-TASK,I-TASK,İNDİR,İNDİR,True,True,True,False
Gemini,CK-1333,temel_bilgisayar,3,dosyayı indirip adı değiştirerek arşiv klasörüne taşı,2,adı,B-TASK,B-TASK,YENİDEN_ADLANDIR,DEĞİŞTİR,True,False,False,False
Gemini,CK-1333,temel_bilgisayar,3,dosyayı indirip adı değiştirerek arşiv klasörüne taşı,3,değiştirerek,I-TASK,I-TASK,YENİDEN_ADLANDIR,DEĞİŞTİR,True,False,False,False
Gemini,CK-1333,temel_bilgisayar,3,dosyayı indirip adı değiştirerek arşiv klasörüne taşı,4,arşiv,B-TASK,B-TASK,TAŞI,TAŞI,True,True,True,False
Gemini,CK-1333,temel_bilgisayar,3,dosyayı indirip adı değiştirerek arşiv klasörüne taşı,5,klasörüne,I-TASK,I-TASK,TAŞI,TAŞI,True,True,True,False
Gemini,CK-1333,temel_bilgisayar,3,dosyayı indirip adı değiştirerek arşiv klasörüne taşı,6,taşı,I-TASK,I-TASK,TAŞI,TAŞI,True,True,True,False
Gemini,CK-1334,ofis_metin_düzenleme,3,slayttaki simgeyi seçip büyüterek üst köşeye taşı,0,slayttaki,B-TASK,B-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1334,ofis_metin_düzenleme,3,slayttaki simgeyi seçip büyüterek üst köşeye taşı,1,simgeyi,I-TASK,I-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1334,ofis_metin_düzenleme,3,slayttaki simgeyi seçip büyüterek üst köşeye taşı,2,seçip,I-TASK,I-TASK,SEÇ,SEÇ,True,True,True,False
Gemini,CK-1334,ofis_metin_düzenleme,3,slayttaki simgeyi seçip büyüterek üst köşeye taşı,3,büyüterek,B-TASK,B-TASK,BÜYÜT,BÜYÜT,True,True,True,False
Gemini,CK-1334,ofis_metin_düzenleme,3,slayttaki simgeyi seçip büyüterek üst köşeye taşı,4,üst,B-TASK,B-TASK,TAŞI,TAŞI,True,True,True,False
Gemini,CK-1334,ofis_metin_düzenleme,3,slayttaki simgeyi seçip büyüterek üst köşeye taşı,5,köşeye,I-TASK,I-TASK,TAŞI,TAŞI,True,True,True,False
Gemini,CK-1334,ofis_metin_düzenleme,3,slayttaki simgeyi seçip büyüterek üst köşeye taşı,6,taşı,I-TASK,I-TASK,TAŞI,TAŞI,True,True,True,False
Gemini,CK-1344,dosya_yazılım_geliştirme,3,hadi terminale geç bi derleme komutunu yaz entera bas,0,hadi,O,O,O,O,True,True,True,False
Gemini,CK-1344,dosya_yazılım_geliştirme,3,hadi terminale geç bi derleme komutunu yaz entera bas,1,terminale,B-TASK,B-TASK,GEÇ,GEÇ,True,True,True,False
Gemini,CK-1344,dosya_yazılım_geliştirme,3,hadi terminale geç bi derleme komutunu yaz entera bas,2,geç,I-TASK,I-TASK,GEÇ,GEÇ,True,True,True,False
Gemini,CK-1344,dosya_yazılım_geliştirme,3,hadi terminale geç bi derleme komutunu yaz entera bas,3,bi,O,O,O,O,True,True,True,False
Gemini,CK-1344,dosya_yazılım_geliştirme,3,hadi terminale geç bi derleme komutunu yaz entera bas,4,derleme,B-TASK,B-TASK,YAZ,YAZ,True,True,True,False
Gemini,CK-1344,dosya_yazılım_geliştirme,3,hadi terminale geç bi derleme komutunu yaz entera bas,5,komutunu,I-TASK,I-TASK,YAZ,YAZ,True,True,True,False
Gemini,CK-1344,dosya_yazılım_geliştirme,3,hadi terminale geç bi derleme komutunu yaz entera bas,6,yaz,I-TASK,I-TASK,YAZ,YAZ,True,True,True,False
Gemini,CK-1344,dosya_yazılım_geliştirme,3,hadi terminale geç bi derleme komutunu yaz entera bas,7,entera,B-TASK,B-TASK,ENTER,ENTER,True,True,True,False
Gemini,CK-1344,dosya_yazılım_geliştirme,3,hadi terminale geç bi derleme komutunu yaz entera bas,8,bas,I-TASK,I-TASK,ENTER,ENTER,True,True,True,False
Gemini,CK-1350,ofis_metin_düzenleme,3,sunum görünümünü aç ardından konuşmacı notlarına geç ve süre bilgisini yaz,0,sunum,B-TASK,B-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1350,ofis_metin_düzenleme,3,sunum görünümünü aç ardından konuşmacı notlarına geç ve süre bilgisini yaz,1,görünümünü,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1350,ofis_metin_düzenleme,3,sunum görünümünü aç ardından konuşmacı notlarına geç ve süre bilgisini yaz,2,aç,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1350,ofis_metin_düzenleme,3,sunum görünümünü aç ardından konuşmacı notlarına geç ve süre bilgisini yaz,3,ardından,O,O,O,O,True,True,True,False
Gemini,CK-1350,ofis_metin_düzenleme,3,sunum görünümünü aç ardından konuşmacı notlarına geç ve süre bilgisini yaz,4,konuşmacı,B-TASK,B-TASK,GEÇ,GEÇ,True,True,True,False
Gemini,CK-1350,ofis_metin_düzenleme,3,sunum görünümünü aç ardından konuşmacı notlarına geç ve süre bilgisini yaz,5,notlarına,I-TASK,I-TASK,GEÇ,GEÇ,True,True,True,False
