challenge_no,raw_command,token_count,predicted_task_count,predicted_labels,predicted_segments,exact_duplicate_in_master,exact_duplicate_master_id,nearest_master_id,nearest_master_similarity,nearest_master_raw_command
76,ekrandaki kodu kopyala yeni bir spyder dosyası aç ve içine yapıştır daha sonra dosyanın ismini de yeni proje olarak oluştur,20,4,KOPYALA ; AÇ ; YAPIŞTIR ; YENİ_OLUŞTUR,KOPYALA:ekrandaki kodu kopyala ; AÇ:yeni bir spyder dosyası aç ; YAPIŞTIR:içine yapıştır ; YENİ_OLUŞTUR:dosyanın ismini de yeni proje olarak oluştur,False,,CK-3289,0.4648648648648649,dosyayı silme kodu kopyala yeni dosyaya yapıştır kaydet gönder
77,terminali aç ve masaüstündeki tüm dosyaları listele,7,2,AÇ ; DİĞER,AÇ:terminali aç ; DİĞER:masaüstündeki tüm dosyaları listele,False,,CK-2921,0.5961538461538461,terminali açmadan yeni bir python dosyası oluşturalım
78,kodu commitle ve açıklama olarak da her şey tamamlandı yaz daha sonra da push et,15,4,YENİDEN_ADLANDIR ; YAZ ; YENİDEN_ADLANDIR ; YAZ,YENİDEN_ADLANDIR:commitle ; YAZ:açıklama olarak da her şey tamamlandı yaz ; YENİDEN_ADLANDIR:push ; YAZ:et,False,,CK-2435,0.45390070921985815,şu formdaki açıklama kutusuna tıkla kısa not yaz ama gönderme
79,kodun içinden 1266'ıncı satıra git o satırı komple sil,9,2,GİT ; SİL,GİT:1266'ıncı satıra git ; SİL:o satırı komple sil,False,,CK-3391,0.5111111111111111,hata satırına git satırı seç kopyala
80,kodun en başına git ve yorum satırı ekle yorum satırına da projenin başlangıcı yaz,14,2,GİT ; YAZ,GİT:kodun en başına git ; YAZ:yorum satırı ekle yorum satırına da projenin başlangıcı yaz,False,,CK-2783,0.4888888888888889,kod satırını silme satırı seç açıklama satırına çevir
81,terminali aç ip config yaz ve ip adresini göster,9,3,AÇ ; YAZ ; DİĞER,AÇ:terminali aç ; YAZ:ip config yaz ; DİĞER:ip adresini göster,False,,CK-1285,0.6046511627906976,terminali açıp komutu yazıp entera bas
82,microsoft sql server'ı aç en son çalıştığım dosyayı aç,9,1,AÇ,AÇ:microsoft sql server'ı aç en son çalıştığım dosyayı aç,False,,CK-2301,0.5137614678899083,terminelde gıt pull yaz entıra bas çakışma dosyasını aç
83,query sekmesine git select * from yaz ve çalıştır,9,3,GİT ; YAZ ; DİĞER,GİT:query sekmesine git ; YAZ:select * from yaz ; DİĞER:çalıştır,False,,CK-1664,0.5148514851485149,terminal sekmesine geçip komutu yapıştırarak enterla
84,terminali açıp npm test komutunu çalıştır ama sonucu göndermeden ekranda bırak,11,2,AÇ ; DİĞER,AÇ:terminali açıp ; DİĞER:npm test komutunu çalıştır,False,,CK-1235,0.6178861788617886,terminali açıp test komutunu yazıp entera bas
85,VS Code'da problems sekmesine geç ve ilk hatanın olduğu satıra git,11,2,SEKME_DEĞİŞTİR ; GİT,SEKME_DEĞİŞTİR:problems sekmesine geç ; GİT:ilk hatanın olduğu satıra git,False,,CK-2383,0.5511811023622047,VS Code'da terminale geç npm test yaz enter hata satırını seç
86,README dosyasının en altına git ve kurulum notu diye bir başlık ekle,12,2,GİT ; YAZ,GİT:README dosyasının en altına git ; YAZ:kurulum notu diye bir başlık ekle,False,,CK-2392,0.524822695035461,README dosyasını açıp kurulum başlığını bularak altına komutları yapıştır
87,terminalde git status yaz enter'a bas sonra değişen dosya adını kopyala,11,3,YAZ ; ENTER ; KOPYALA,YAZ:git status yaz ; ENTER:enter'a bas ; KOPYALA:değişen dosya adını kopyala,False,,CK-2386,0.725925925925926,terminali aç git status yaz enter değişen dosyaları aşağı kaydır
88,Git panelini açmadan terminalden branch adını göster,7,1,DİĞER,DİĞER:branch adını göster,False,,CK-1792,0.5769230769230769,pdf güvenlik panelini aç ardından parola alanını seç
89,config dosyasında timeout satırını bul ve değeri 30 yap,9,2,BUL ; DEĞİŞTİR,BUL:timeout satırını bul ; DEĞİŞTİR:değeri 30 yap,False,,CK-2685,0.7692307692307693,config dosyasını açıp timeout satırını bularak değeri değiştir
90,"terminalde docker ps yaz sonra enter bas, çıkan container adını kopyala",11,3,YAZ ; ENTER ; KOPYALA,"YAZ:docker ps yaz ; ENTER:enter bas, ; KOPYALA:çıkan container adını kopyala",False,,CK-1324,0.6942148760330579,terminal aç docker ps yaz enter bas konteyneri bul
91,"VS Code'da env dosyasını aç, token satırını seçmeden sadece örnek satırı kopyala",12,2,AÇ ; KOPYALA,"AÇ:env dosyasını aç, ; KOPYALA:örnek satırı kopyala",False,,CK-3672,0.5960264900662252,env dosyasındaki token satırını kes örnek env dosyasına yapıştır kaydet
92,"terminalde git add nokta yazma, sadece git diff komutunu çalıştır",10,1,DİĞER,DİĞER:git diff komutunu çalıştır,False,,CK-2789,0.5967741935483871,terminalde komutu yazma imleci seç panodaki komutu yapıştır
93,build klasörünü silmeden release klasörü oluştur ve çıktı dosyasını oraya taşı,11,2,YENİ_OLUŞTUR ; TAŞI,YENİ_OLUŞTUR:release klasörü oluştur ; TAŞI:çıktı dosyasını oraya taşı,False,,CK-3686,0.7076923076923077,release klasörü oluştur derleme çıktısını oraya taşı
94,VS Code'da routes klasöründe yeni api dosyası oluştur adını user_routes yap,11,2,YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,YENİ_OLUŞTUR:yeni api dosyası oluştur ; YENİDEN_ADLANDIR:adını user_routes yap,False,,CK-2961,0.6758620689655173,src klasörüne geç controller dosyası oluştur adını user controller yap
95,"şey yanlış dosyadasın, main dosyasına geç ve import satırını bul",10,2,GEÇ ; BUL,GEÇ:main dosyasına geç ; BUL:import satırını bul,False,,CK-3291,0.6481481481481481,main dosyasını silme import satırını bul kes
96,"terminalde komut satırına pip install yaz, bir boşluk bırak, paket adını yapıştır",12,3,YAZ ; BOŞLUK ; YAPIŞTIR,"YAZ:komut satırına pip install yaz, ; BOŞLUK:bir boşluk bırak, ; YAPIŞTIR:paket adını yapıştır",False,,CK-3701,0.6976744186046512,terminal sekmesine geç pip install komutunu yaz boşluk bırak paket adını yapıştır enter bas
97,"geçici cache dosyasını sil, sonra test komutunu yeniden çalıştır",9,2,SİL ; YİNELE,"SİL:geçici cache dosyasını sil, ; YİNELE:test komutunu yeniden çalıştır",False,,CK-3671,0.5967741935483871,bozuk cache dosyasını bul sil ardından build komutunu yinele
98,"VS Code'da search panelinde TODO ara, ilk sonucu aç, satıra yorum ekle",12,3,ARA ; AÇ ; YAZ,"ARA:TODO ara, ; AÇ:ilk sonucu aç, ; YAZ:satıra yorum ekle",False,,CK-1459,0.49586776859504134,arama panelini aç mikrofon yaz sonucu aç sesi artır
99,"repo klasöründe docs oluştur, README kopyasını içine koy, adını kullanım yap",11,3,YENİ_OLUŞTUR ; TAŞI ; YENİDEN_ADLANDIR,"YENİ_OLUŞTUR:docs oluştur, ; TAŞI:README kopyasını içine koy, ; YENİDEN_ADLANDIR:adını kullanım yap",False,,CK-3675,0.6068965517241379,migration klasörü oluştur dosyayı içine taşı adını init_migration yap
100,"yanlış branch'e geçme, mevcut branch adını göster ve sonucu kopyala",10,2,DİĞER ; KOPYALA,DİĞER:mevcut branch adını göster ; KOPYALA:sonucu kopyala,False,,CK-3168,0.5074626865671642,yanlış oldu seçme simgeyi sağa taşı adını değiştir kopyala sonra aç
